match_name,total_teams_score,yellow_card,red_card,substitutions,n_same_squad_match,C-3,Segm K-means PCA,Segment
Algeria v Slovenia,1,6,1,6,1,-0.28323050244096337,9,decimo
Algeria v United States,1,7,1,6,1,-0.3340196989650206,9,decimo
Angola v Mexico,0,7,1,6,1,-0.508119207359643,9,decimo
Argentina v Cameroon,1,4,2,4,1,0.3255141957034158,9,decimo
Argentina v Jamaica,5,5,1,6,1,0.46395672766158436,9,decimo
Argentina v Soviet Union,2,5,1,4,1,0.029131417512440878,9,decimo
Argentina v Yugoslavia,0,7,1,3,1,-0.3769093848075564,9,decimo
Australia v Croatia,4,11,3,6,1,0.8245082202456991,9,decimo
Australia v Germany,4,5,1,6,1,0.28985721926696173,9,decimo
Australia v Ghana,2,4,1,6,1,-0.007552600998226325,9,decimo
Australia v Italy,1,6,1,4,1,-0.19575728740623896,9,decimo
Austria v United States,3,9,1,4,1,7.413981083466658e-05,9,decimo
Belgium v Iraq,3,7,1,3,1,0.14538914037631132,9,decimo
Belgium v Netherlands,1,8,1,9,2,-0.3946904670192048,9,decimo
Belgium v Uruguay,4,4,1,4,1,0.4281196308257434,9,decimo
Bolivia v Germany,1,6,1,4,1,-0.19575728740623896,9,decimo
Bolivia v South Korea,0,8,1,3,1,-0.42769858133161365,9,decimo
Brazil v Ghana,3,9,1,5,1,-0.043662467706527534,9,decimo
Brazil v Ivory Coast,4,6,1,5,1,0.28280463026026675,9,decimo
Brazil v United States,1,8,2,3,1,0.16609401712454913,9,decimo
Bulgaria v Paraguay,0,6,1,5,1,-0.41359340331822364,9,decimo
Cameroon v Chile,2,5,2,6,1,0.36135129253925674,9,decimo
Cameroon v Croatia,4,1,1,6,1,0.4930140053631905,9,decimo
Cameroon v Germany,2,18,2,6,1,-0.2989082622734869,9,decimo
Canada v Hungary,2,4,1,4,1,0.07992061403649808,9,decimo
China v Turkey,3,5,1,6,1,0.11575771087233908,9,decimo
Costa Rica v Greece,2,8,1,6,1,-0.21070938709445516,9,decimo
Costa Rica v Uruguay,4,3,1,6,1,0.3914356123150761,9,decimo
Croatia v Germany,3,4,1,3,1,0.2977567299484829,9,decimo
Czech Republic v Ghana,2,7,1,6,1,-0.15992019057039794,9,decimo
Czech Republic v Italy,2,4,1,6,1,-0.007552600998226325,9,decimo
Czechoslovakia v France,2,2,1,4,1,0.18149900708461247,9,decimo
Czechoslovakia v Northern Ireland,4,0,2,0,2,1.3472441880749209,9,decimo
Denmark v Senegal,2,6,1,6,1,-0.10913099404634076,9,decimo
Denmark v South Africa,2,7,3,6,1,0.6794659895526827,9,decimo
Denmark v West Germany,2,5,1,4,1,0.029131417512440878,9,decimo
Ecuador v France,0,1,1,6,1,-0.2033840282152999,9,decimo
England v Morocco,0,4,1,4,1,-0.2682784027527471,9,decimo
France v Honduras,3,8,1,6,1,-0.03660987869983254,9,decimo
France v Saudi Arabia,4,4,2,6,1,0.7603395058525593,9,decimo
Germany v Paraguay,1,5,1,6,1,-0.2324413059169062,9,decimo
Germany v Poland,1,8,1,6,1,-0.3848088954890778,9,decimo
Germany v Serbia,1,10,1,6,1,-0.4863872885371922,9,decimo
Ghana v Serbia,1,7,1,6,1,-0.3340196989650206,9,decimo
Ghana v Uruguay,2,6,1,5,1,-0.06539438652897855,9,decimo
Greece v Japan,0,6,1,5,1,-0.41359340331822364,9,decimo
Honduras v Yugoslavia,1,2,1,3,1,0.05113610620735207,9,decimo
Italy v Nigeria,3,9,1,4,1,7.413981083466658e-05,9,decimo
Ivory Coast v Serbia and Montenegro,5,11,2,4,1,0.6663878536135058,9,decimo
Mexico v Portugal,3,10,1,6,1,-0.13818827174794693,9,decimo
Mexico v United States,2,10,1,6,1,-0.31228778014256964,9,decimo
Morocco v Scotland,3,2,1,5,1,0.3118619079618729,9,decimo
Paraguay v Slovenia,4,7,2,6,1,0.6079719162803877,9,decimo
Peru v Romania,4,0,1,0,1,0.806222846991421,9,decimo
Portugal v South Korea,1,8,2,4,1,0.12235740960718691,9,decimo
Romania v Sweden,4,7,1,3,1,0.3194886487709339,9,decimo
Romania v Switzerland,5,3,1,4,1,0.6530083357444232,9,decimo
Russia v Sweden,4,7,1,4,1,0.2757520412535717,9,decimo
Russia v Uruguay,3,5,1,6,1,0.11575771087233908,9,decimo
South Africa v Uruguay,3,2,1,5,1,0.3118619079618729,9,decimo
South Korea v Togo,3,7,1,6,1,0.014179317824224687,9,decimo
South Korea v Uruguay,4,10,1,9,2,0.026029665116548695,9,decimo
Soviet Union v West Germany,3,1,1,0,1,0.5813341420727411,9,decimo
Spain v Ukraine,4,2,1,6,1,0.44222480883913334,9,decimo
Sweden v Switzerland,1,3,1,5,1,-0.08712630535142951,9,decimo
Sweden v Trinidad and Tobago,0,5,1,5,1,-0.3628042067941664,9,decimo
Tunisia v Ukraine,1,9,1,6,1,-0.43559809201313504,9,decimo
United Arab Emirates v Yugoslavia,5,6,1,4,1,0.5006407461722515,9,decimo
