match_name,total_teams_score,yellow_card,red_card,substitutions,n_same_squad_match,C-3,Segm K-means PCA,Segment
Algeria v Austria,2,1,0,4,1,-0.18740488645287065,0,primo
Algeria v Belgium,3,2,0,6,1,-0.15156778961702963,0,primo
Algeria v Brazil,1,0,0,4,1,-0.310715198323436,0,primo
Algeria v England,0,2,0,6,1,-0.6738663148008973,0,primo
Algeria v Germany,3,2,0,6,1,-0.15156778961702963,0,primo
Algeria v Northern Ireland,2,4,0,4,1,-0.33977247602504224,0,primo
Algeria v Russia,2,4,0,6,1,-0.4272456910597667,0,primo
Algeria v Spain,3,2,0,4,1,-0.0640945745823052,0,primo
Algeria v West Germany,3,2,0,3,1,-0.020357967064943003,0,primo
Angola v Iran,2,6,0,6,1,-0.5288240841078811,0,primo
Angola v Portugal,1,5,0,6,1,-0.6521343959784465,0,primo
Argentina v Bosnia and Herzegovina,3,2,0,6,1,-0.15156778961702963,0,primo
Argentina v Chile,4,0,0,0,1,0.3865297569298807,0,primo
Argentina v East Germany,2,2,0,2,1,-0.15072086794220346,0,primo
Argentina v El Salvador,2,5,0,4,1,-0.39056167254909946,0,primo
Argentina v Iceland,2,0,0,6,1,-0.22408890496353784,0,primo
Argentina v Iran,1,2,0,6,1,-0.49976680640627485,0,primo
Argentina v Ivory Coast,3,5,0,6,1,-0.30393537918920127,0,primo
Argentina v Japan,1,3,0,4,1,-0.46308278789560764,0,primo
Argentina v Northern Ireland,4,0,0,0,1,0.3865297569298807,0,primo
Argentina v Spain,3,0,0,0,1,0.21243024853525805,0,primo
Australia v Brazil,2,5,0,6,1,-0.4780348875838239,0,primo
Australia v Denmark,2,2,0,5,1,-0.28193069049429004,0,primo
Australia v East Germany,2,3,0,1,1,-0.15777345694889844,0,primo
Australia v France,3,4,0,6,1,-0.25314618266514405,0,primo
Australia v Japan,4,7,0,6,1,-0.23141426384269298,0,primo
Australia v Peru,2,6,0,6,1,-0.5288240841078811,0,primo
Australia v Serbia,3,5,0,6,1,-0.30393537918920127,0,primo
Australia v Spain,3,3,0,6,1,-0.20235698614108683,0,primo
Australia v West Germany,3,0,0,4,1,0.03748381846580923,0,primo
Austria v Cameroon,2,2,0,6,1,-0.3256672980116523,0,primo
Austria v England,4,0,0,0,1,0.3865297569298807,0,primo
Austria v Hungary,3,0,0,0,1,0.21243024853525805,0,primo
Austria v Northern Ireland,4,1,0,3,1,0.20453073785373682,0,primo
Austria v Scotland,1,0,0,0,1,-0.13576876825398723,0,primo
Austria v Soviet Union,2,0,0,0,1,0.038330740140635394,0,primo
Austria v Spain,3,0,0,4,1,0.03748381846580923,0,primo
Austria v Sweden,1,0,0,3,1,-0.26697859080607383,0,primo
Austria v Uruguay,4,0,0,0,1,0.3865297569298807,0,primo
Belgium v Hungary,2,2,0,4,1,-0.23819408297692787,0,primo
Belgium v Morocco,1,5,0,5,1,-0.6083977884610843,0,primo
Belgium v Panama,3,8,0,6,1,-0.4563029687613729,0,primo
Belgium v Poland,3,1,0,3,1,0.030431229459114185,0,primo
Belgium v Saudi Arabia,1,4,0,4,1,-0.5138719844196649,0,primo
Bolivia v Brazil,4,0,0,0,1,0.3865297569298807,0,primo
Bolivia v Spain,4,2,0,4,1,0.11000493381231743,0,primo
Bolivia v Yugoslavia,4,0,0,0,1,0.3865297569298807,0,primo
Bosnia and Herzegovina v Iran,4,2,0,6,1,0.022531718777593027,0,primo
Bosnia and Herzegovina v Nigeria,1,2,0,5,1,-0.4560301988889126,0,primo
Brazil v Bulgaria,2,0,0,0,1,0.038330740140635394,0,primo
Brazil v China,4,2,0,6,1,0.022531718777593027,0,primo
