player_id,family_name,given_name,total_games_played,n_minutes_played,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,Segm K-means PCA,Segment
P-00491,Wouters,Jan,8,720,2,2,0,0,0,0,5,5
P-04762,Ivanov,Trifon,9,762,2,2,0,0,0,0,5,5
P-04678,Yankov,Zlatko,8,714,2,2,0,0,0,0,5,5
P-06854,Poulsen,Christian,6,377,2,2,0,0,0,0,5,5
P-01988,Tøfting,Stig,6,378,2,2,0,0,0,0,5,5
P-01210,Abidal,Eric,8,750,2,2,1,0,0,0,5,5
P-06863,Lee,Chun-soo,10,627,2,2,0,0,1,0,5,5
P-08612,Benetti,Romeo,9,797,2,2,0,0,2,0,5,5
P-06905,Arce,Francisco,7,654,2,2,0,0,1,0,5,5
P-06528,Heinze,Gabriel,8,780,2,2,0,0,1,0,5,5
P-01441,Ramires,not applicable,11,360,2,2,0,0,0,0,5,5
P-00193,Álvarez,Leonel,7,660,2,2,0,0,0,0,5,5
P-09294,Valencia,Antonio,7,546,2,2,0,0,0,0,5,5
P-00986,Miyamoto,Tsuneyasu,6,470,2,2,0,0,0,0,5,5
P-06311,Carragher,Jamie,6,299,2,2,0,0,0,0,5,5
P-07630,Mbouh,Émile,6,570,2,2,0,0,0,0,5,5
P-03834,Kovač,Robert,5,450,2,2,0,0,0,0,5,5
P-07495,Hamilton,Billy,8,585,2,2,0,0,2,0,5,5
P-04760,Rijkaard,Frank,8,627,2,2,0,0,0,0,5,5
P-04289,Kerimoğlu,Tugay,7,624,1,1,0,0,0,0,5,5
P-07803,Radebe,Lucas,6,530,2,2,0,0,1,0,5,5
P-05937,Mbia,Stéphane,6,540,2,2,0,0,0,0,5,5
P-04827,Marín,Luis,6,540,2,2,0,0,0,0,5,5
P-06031,Kim,Tae-young,10,776,2,2,0,0,0,0,5,5
P-01912,Al-Muwallid,Khalid,6,369,2,2,0,0,0,0,5,5
P-04365,Stanić,Mario,9,667,2,2,0,0,1,0,5,5
P-08111,Petit,not applicable,9,654,2,2,0,0,0,0,5,5
P-06184,Allbäck,Marcus,8,423,2,2,0,0,1,0,5,5
P-09814,Hejduk,Frankie,7,534,2,2,0,0,0,0,5,5
P-09414,Kana-Biyik,André,4,361,2,2,0,0,0,0,5,5
P-05549,Nekounam,Javad,5,450,2,2,0,0,0,0,5,5
P-00047,Lee,Min-sung,5,395,2,2,0,0,0,0,5,5
P-09694,de la Cruz,Ulises,7,630,2,2,0,0,0,0,5,5
P-05429,Otamendi,Nicolás,7,610,2,2,0,0,0,0,5,5
