player_id,family_name,given_name,total_games_played,n_minutes_played,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,Segm K-means PCA,Segment
P-02847,Márquez,Rafael,19,1554,5,5,0,0,3,0,2,2
P-02970,Muntari,Sulley,9,587,3,3,0,0,2,0,2,2
P-00790,Popescu,Gheorghe,13,1199,3,3,0,0,0,0,2,2
P-04744,Bouazizi,Riadh,8,641,3,3,0,0,0,0,2,2
P-09745,Cahill,Tim,9,617,4,4,0,0,5,0,2,2
P-00183,Zokora,Didier,8,720,3,3,0,0,0,0,2,2
P-08577,Chamot,José,9,768,3,3,0,0,0,0,2,2
P-05827,Ballack,Michael,11,1050,2,2,0,0,3,0,2,2
P-08809,Torrado,Gerardo,11,927,3,3,0,0,1,0,2,2
P-09447,Costacurta,Alessandro,11,1050,2,2,0,0,0,0,2,2
P-02074,van Bommel,Mark,10,877,2,2,1,0,0,0,2,2
P-00201,Moreno,Héctor,9,733,3,3,0,0,0,0,2,2
P-05607,Hamann,Dietmar,11,841,2,2,1,0,0,0,2,2
P-04363,Alderweireld,Toby,10,930,2,2,0,0,0,0,2,2
P-05351,Boniek,Zbigniew,16,1283,3,3,0,0,6,0,2,2
P-01447,Song,Rigobert,9,672,4,4,0,0,0,0,2,2
P-02956,Rojo,Marcos,9,841,2,2,1,0,2,0,2,2
P-00994,Milla,Roger,10,584,3,3,0,0,5,0,2,2
P-05084,Albertini,Demetrio,11,938,2,2,1,0,0,0,2,2
P-00913,Caniggia,Claudio,9,761,3,2,0,0,4,0,2,2
P-02932,Kim,Joo-sung,9,735,3,3,0,0,0,0,2,2
P-09372,Pope,Eddie,9,757,3,3,0,0,0,0,2,2
P-06698,van Bronckhorst,Giovanni,10,915,3,2,1,0,1,0,2,2
P-09346,Vertonghen,Jan,11,990,2,2,0,0,2,0,2,2
P-02737,Frings,Torsten,13,1171,2,2,1,0,1,0,2,2
P-02033,Smolarek,Włodzimierz,10,855,2,2,0,0,2,0,2,2
P-08969,Drogba,Didier,8,523,3,3,0,0,2,0,2,2
P-07659,Sánchez,Hugo,8,750,3,3,0,0,1,0,2,2
P-07019,N'Kono,Thomas,8,780,3,2,0,0,0,0,2,2
P-07513,Gerrard,Steven,12,970,3,3,0,0,3,0,2,2
P-07321,Petrescu,Dan,9,826,2,2,0,0,2,0,2,2
P-01684,Reyna,Claudio,10,850,4,3,0,0,0,0,2,2
P-04958,Juan,not applicable,10,900,2,2,0,0,1,0,2,2
P-06600,de Jong,Nigel,11,888,2,2,1,0,0,0,2,2
P-06104,Friedrich,Arne,13,1204,2,2,0,0,1,0,2,2
P-07957,Stojković,Dragan,9,787,2,2,0,0,3,0,2,2
P-02425,Silva,Thiago,11,1020,3,2,0,0,2,0,2,2
P-09707,Hagi,Gheorghe,12,1035,3,3,0,0,3,0,2,2
P-02113,Šimić,Dario,11,853,3,3,0,0,0,0,2,2
P-02103,Ubiña,Luis,10,930,2,2,0,0,0,0,2,2
P-07622,Ortega,Ariel,11,872,3,3,0,0,2,0,2,2
P-01531,Heitinga,John,10,809,2,2,1,0,0,0,2,2
P-07722,Arévalo Ríos,Egidio,11,1020,2,2,0,0,0,0,2,2
P-09801,Berti,Nicola,11,723,2,2,1,0,0,0,2,2
P-03978,Mathijsen,Joris,9,802,2,2,1,0,0,0,2,2
P-06372,Kasperczak,Henryk,13,989,2,2,0,0,0,0,2,2
P-03925,Nagatomo,Yuto,11,1020,3,3,0,0,0,0,2,2
P-01867,Jonk,Wim,11,912,2,2,0,0,2,0,2,2
P-04818,Simeone,Diego,11,915,3,3,0,0,0,0,2,2
P-07815,Acuña,Roberto,11,948,3,3,0,0,0,0,2,2
P-06204,Stanković,Dejan,9,701,3,3,0,0,0,0,2,2
P-05393,Pfaff,Jean-Marie,10,990,2,2,0,0,0,0,2,2
P-02273,Gorgoń,Jerzy,12,1080,2,2,0,0,1,0,2,2
P-06884,Cáceres,Martín,11,990,3,3,0,0,0,0,2,2
P-05396,Witsel,Axel,10,930,2,2,0,0,0,0,2,2
P-04359,Paredes,Carlos,9,683,3,3,0,0,0,0,2,2
P-06668,Ghodhbane,Kaies,8,427,3,3,0,0,0,0,2,2
P-00937,Carvalho,Ricardo,10,930,2,2,0,0,0,0,2,2
P-06823,Campbell,Sol,10,875,3,3,0,0,1,0,2,2
P-04039,Butcher,Terry,14,1253,3,3,0,0,0,0,2,2
P-06493,Lichtsteiner,Stephan,10,927,3,3,0,0,0,0,2,2
P-06507,Ribéry,Franck,10,787,2,2,1,0,1,0,2,2
P-00049,Khedira,Sami,14,1103,3,3,0,1,2,0,2,2
P-04256,Kuyt,Dirk,15,1298,3,3,1,0,1,0,2,2
P-04248,Grün,Georges,11,1020,3,3,0,0,1,0,2,2
P-07103,Ahn,Jung-hwan,10,622,3,2,0,0,3,0,2,2
P-09885,Rodríguez,Francisco Javier,9,766,3,3,0,0,0,0,2,2
P-01705,Behrami,Valon,10,691,4,4,0,0,0,0,2,2
P-08170,Hasebe,Makoto,11,844,3,3,0,0,0,0,2,2
P-01978,Okocha,Jay-Jay,9,685,3,3,0,0,0,0,2,2
P-09161,Suárez,Claudio,8,750,3,2,0,0,0,0,2,2
P-08557,Camacho,José Antonio,10,930,2,2,0,0,0,0,2,2
P-05014,Beasley,DaMarcus,11,830,4,4,0,0,0,0,2,2
P-02497,Trabelsi,Hatem,7,619,3,3,0,0,0,0,2,2
P-05707,Metzelder,Christoph,13,1200,2,2,1,0,0,0,2,2
P-02028,Caniza,Denis,12,940,4,4,0,0,0,0,2,2
P-00295,Kim,Nam-il,11,662,3,3,0,0,0,0,2,2
P-02800,Sensini,Roberto Néstor,8,587,3,3,1,0,0,0,2,2
