manager_id,family_name,given_name,country_name,n_appearances,n_wc,goals_difference,win_rate,lose_rate,draw_rate,n_wc_wins_rate,Segm K-means PCA,Segment
M-003,Advocaat,Dick,Netherlands,8,2,1,0.5,0.375,0.125,0.0,5,5
M-004,Aguirre,Javier,Mexico,8,2,-1,0.375,0.375,0.25,0.0,5,5
M-014,Arena,Bruce,United States,8,2,-4,0.25,0.5,0.25,0.0,5,5
M-025,Beenhakker,Leo,Netherlands,7,2,-5,0.0,0.42857142857142855,0.5714285714285714,0.0,5,5
M-029,Bielsa,Marcelo,Argentina,7,2,-2,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,5,5
M-031,Bingham,Billy,Northern Ireland,8,2,-6,0.125,0.375,0.5,0.0,5,5
M-050,Capello,Fabio,Italy,7,2,-3,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0,5,5
M-056,Charlton,Jack,England,9,2,-3,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.0,5,5
M-060,Clemente,Javier,Spain,8,2,8,0.375,0.25,0.375,0.0,5,5
M-076,Domenech,Raymond,France,10,2,3,0.4,0.2,0.4,0.0,5,5
M-082,Ericson,Georg,Sweden,9,2,-1,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.0,5,5
M-119,Hidalgo,Michel,France,10,2,4,0.4,0.4,0.2,0.0,5,5
M-122,Hitzfeld,Ottmar,Germany,7,2,0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,5,5
M-124,Hodgson,Roy,England,7,2,-4,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,5,5
M-128,Iordănescu,Anghel,Romania,9,2,2,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.0,5,5
M-148,Klinsmann,Jürgen,Germany,11,2,7,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.0,5,5
M-156,Lagerbäck,Lars,Sweden,11,3,-3,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.0,5,5
M-172,Lorenzo,Juan Carlos,Argentina,7,2,1,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,5,5
M-178,Maldini,Cesare,Italy,9,2,4,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.0,5,5
M-184,Maturana,Francisco,Colombia,7,2,-1,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,5,5
M-199,Miljanić,Miljan,Yugoslavia,9,2,5,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.0,5,5
M-221,Okada,Takeshi,Japan,7,2,-1,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,5,5
M-224,Olsen,Egil,Norway,7,2,0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,5,5
M-225,Olsen,Morten,Denmark,7,2,-3,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,5,5
M-246,Piechniczek,Antoni,Poland,11,2,0,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.0,5,5
M-259,Queiroz,Carlos,Portugal,10,3,3,0.2,0.4,0.4,0.0,5,5
M-260,Rădulescu,Costel,Romania,5,3,-4,0.2,0.6,0.2,0.0,5,5
M-264,Rappan,Karl,Austria,10,3,-6,0.3,0.6,0.1,0.0,5,5
M-266,Raynor,George,England,11,2,1,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.0,5,5
M-271,Robson,Bobby,England,12,2,6,0.4166666666666667,0.25,0.3333333333333333,0.0,5,5
M-277,Rueda,Reinaldo,Colombia,6,2,-3,0.16666666666666666,0.5,0.3333333333333333,0.0,5,5
M-283,Sampaoli,Jorge,Argentina,8,2,-1,0.375,0.375,0.25,0.0,5,5
M-288,Santos,Fernando,Portugal,8,2,-2,0.25,0.25,0.5,0.0,5,5
M-322,Tirnanić,Aleksandar,Yugoslavia,7,2,-1,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,5,5
M-327,Tréllez,Ignacio,Mexico,6,2,-3,0.16666666666666666,0.5,0.3333333333333333,0.0,5,5
M-328,Troussier,Philippe,France,7,2,-1,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,5,5
M-330,Valcareggi,Ferruccio,Italy,9,2,3,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.0,5,5
M-334,van Marwijk,Bert,Netherlands,10,2,3,0.6,0.3,0.1,0.0,5,5
M-335,Vengloš,Jozef,Czechoslovakia,8,2,3,0.375,0.375,0.25,0.0,5,5
M-344,Vogts,Berti,Germany,10,2,4,0.6,0.2,0.2,0.0,5,5
M-347,Vytlačil,Rudolf,Czechoslovakia,9,2,-7,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.0,5,5
