manager_id,family_name,given_name,country_name,n_appearances,n_wc,goals_difference,win_rate,lose_rate,draw_rate,n_wc_wins_rate,Segm K-means PCA,Segment
M-022,Bearzot,Enzo,Italy,18,3,8,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,4,4
M-234,Parreira,Carlos Alberto,Brazil,24,6,-4,0.4166666666666667,0.375,0.20833333333333334,0.16666666666666666,4,4
M-114,Herberger,Sepp,Germany,18,4,9,0.5,0.2777777777777778,0.2222222222222222,0.25,4,4
M-018,Baróti,Lajos,Hungary,15,4,3,0.3333333333333333,0.5333333333333333,0.13333333333333333,0.0,4,4
M-083,Eriksson,Sven-Göran,Sweden,13,3,8,0.46153846153846156,0.15384615384615385,0.38461538461538464,0.0,4,4
M-120,Hiddink,Guus,Netherlands,18,3,7,0.3888888888888889,0.2777777777777778,0.3333333333333333,0.0,4,4
M-136,Kachalin,Gavriil,Soviet Union,13,3,5,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.0,4,4
M-196,Michel,Henri,France,16,4,-3,0.375,0.375,0.25,0.0,4,4
M-201,Milutinović,Bora,Yugoslavia,20,5,-11,0.4,0.45,0.15,0.0,4,4
M-316,Tabárez,Óscar,Uruguay,20,4,2,0.5,0.35,0.15,0.0,4,4
M-320,Thys,Guy,Belgium,16,3,-3,0.375,0.4375,0.1875,0.0,4,4
M-354,Winterbottom,Walter,England,14,4,-2,0.21428571428571427,0.42857142857142855,0.35714285714285715,0.0,4,4
