manager_id,family_name,given_name,country_name,n_appearances,n_wc,goals_difference,win_rate,lose_rate,draw_rate,n_wc_wins_rate,Segm K-means PCA,Segment
M-010,Andreoli,Franco,Switzerland,3,1,-2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2,2
M-026,Bento,Paulo,Portugal,3,1,-3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2,2
M-027,Bergmark,Orvar,Sweden,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2,2
M-028,Beskov,Konstantin,Soviet Union,5,1,3,0.4,0.2,0.4,0.0,2,2
M-034,Blokhin,Oleg,Ukraine,5,1,-2,0.4,0.4,0.2,0.0,2,2
M-045,Buschner,Georg,East Germany,6,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2,2
M-047,Calderón,Marcos,Peru,6,1,-5,0.3333333333333333,0.5,0.16666666666666666,0.0,2,2
M-051,Cárdenas,Raúl,Mexico,4,1,2,0.5,0.25,0.25,0.0,2,2
M-057,Cherchesov,Stanislav,Russia,5,1,4,0.4,0.2,0.4,0.0,2,2
M-058,Chetali,Abdelmajid,Tunisia,3,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2,2
M-059,Cissé,Aliou,Senegal,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2,2
M-071,Derwall,Jupp,Germany,7,1,2,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,2,2
M-075,Doherty,Peter,Northern Ireland,5,1,-4,0.4,0.4,0.2,0.0,2,2
M-080,Eizaguirre,Guillermo,Spain,6,1,-2,0.5,0.3333333333333333,0.16666666666666666,0.0,2,2
M-088,Ferrari,Giovanni,Italy,3,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2,2
M-093,García,Amadeo,Spain,3,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2,2
M-097,Gmoch,Jacek,Poland,6,1,0,0.5,0.3333333333333333,0.16666666666666666,0.0,2,2
M-102,González,Aurelio,Paraguay,3,1,-3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2,2
M-109,Halilhodžić,Vahid,Bosnia and Herzegovina,4,1,0,0.25,0.5,0.25,0.0,2,2
M-112,Happel,Ernst,Austria,7,1,5,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,2,2
M-117,Herrera,Miguel,Mexico,4,1,2,0.5,0.25,0.25,0.0,2,2
M-123,Hoddle,Glenn,England,4,1,3,0.5,0.25,0.25,0.0,2,2
M-125,Hohberg,Juan,Uruguay,6,1,-1,0.3333333333333333,0.5,0.16666666666666666,0.0,2,2
M-127,Huh,Jung-moo,South Korea,4,1,-2,0.25,0.5,0.25,0.0,2,2
M-134,Johansson,Bo,Sweden,5,1,2,0.4,0.4,0.2,0.0,2,2
M-140,Kek,Matjaž,Slovenia,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2,2
M-141,Keshi,Stephen,Nigeria,4,1,-2,0.25,0.5,0.25,0.0,2,2
