manager_id,family_name,given_name,country_name,n_appearances,n_wc,goals_difference,win_rate,lose_rate,draw_rate,n_wc_wins_rate,Segm K-means PCA,Segment
M-253,Pozzo,Vittorio,Italy,9,2,15,0.8888888888888888,0.0,0.1111111111111111,1.0,1,1
M-024,Beckenbauer,Franz,Germany,14,2,11,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.5,1,1
M-313,Suppici,Alberto,Uruguay,4,1,12,1.0,0.0,0.0,1.0,1,1
M-297,Scolari,Luiz Felipe,Brazil,21,3,13,0.6666666666666666,0.19047619047619047,0.14285714285714285,0.3333333333333333,1,1
M-296,Schön,Helmut,Germany,25,4,30,0.64,0.16,0.2,0.25,1,1
M-263,Ramsey,Alf,England,10,2,8,0.7,0.2,0.1,0.5,1,1
M-204,Moreira,Aymoré,Brazil,6,1,9,0.8333333333333334,0.0,0.16666666666666666,1.0,1,1
M-192,Menotti,César Luis,Argentina,12,2,12,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.5,1,1
M-174,Löw,Joachim,Germany,17,3,23,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.3333333333333333,1,1
M-170,López,Juan,Uruguay,9,2,17,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.5,1,1
M-166,Lippi,Marcello,Italy,10,2,9,0.5,0.1,0.4,0.5,1,1
M-130,Jacquet,Aimé,France,7,1,13,0.8571428571428571,0.0,0.14285714285714285,1.0,1,1
M-086,Feola,Vicente,Brazil,9,2,10,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.5,1,1
M-072,Deschamps,Didier,France,12,2,15,0.75,0.08333333333333333,0.16666666666666666,0.5,1,1
M-070,del Bosque,Vicente,Spain,10,2,3,0.7,0.3,0.0,0.5,1,1
M-030,Bilardo,Carlos,Argentina,14,2,10,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.5,1,1
M-356,Zagallo,Mário,Brazil,20,3,18,0.65,0.2,0.15,0.3333333333333333,1,1
M-238,Pékerman,José,Argentina,14,3,19,0.6428571428571429,0.14285714285714285,0.21428571428571427,0.0,1,1
M-286,Santana,Telê,Brazil,10,2,18,0.8,0.1,0.1,0.0,1,1
