manager_id,family_name,given_name,country_name,n_appearances,n_wc,goals_difference,win_rate,lose_rate,draw_rate,n_wc_wins_rate,Segm K-means PCA,Segment
M-007,Al-Kharashy,Mohammed,Brazil,3,1,-5,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-008,Álamos,Luis,Chile,6,2,-4,0.0,0.5,0.5,0.0,7,7
M-012,Appiah,James Kwesi,Ghana,3,1,-2,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-015,Argauer,Karl,Austria,3,1,-5,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-017,Azkargorta,Xabier,Spain,3,1,-3,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-035,Bonev,Hristo,Bulgaria,3,1,-6,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-037,Borrás,Omar,Uruguay,4,1,-6,0.0,0.5,0.5,0.0,7,7
M-038,Bozhkov,Stefan,Bulgaria,3,1,-4,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-040,Brown,Craig,Scotland,3,1,-4,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-044,Busby,Matt,Scotland,3,1,-2,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-049,Cap,Vladislao,Argentina,6,1,-3,0.16666666666666666,0.5,0.3333333333333333,0.0,7,7
M-055,Cha,Bum-kun,South Korea,3,1,-7,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-087,Ferguson,Alex,Scotland,3,1,-2,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-090,Fleitas Solich,Manuel,Paraguay,2,1,-2,0.0,0.5,0.5,0.0,7,7
M-106,Guérin,Henri,France,3,1,-3,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-107,Guimarães,Alexandre,Costa Rica,6,2,-7,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,7,7
M-110,Hallgrímsson,Heimir,Iceland,3,1,-3,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-126,Hong,Myung-bo,South Korea,3,1,-3,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-129,Ivanković,Branko,Croatia,3,1,-4,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-138,Kasperczak,Henryk,Poland,3,1,-3,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-145,Kim,Jung-nam,South Korea,3,1,-3,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-165,Lemerre,Roger,France,6,2,-6,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-167,Livingstone,Doug,Scotland,2,1,-3,0.0,0.5,0.5,0.0,7,7
M-203,Mohajerani,Heshmat,Iran,3,1,-6,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-210,Myung,Rye-hyun,North Korea,4,1,-4,0.25,0.5,0.25,0.0,7,7
M-226,Onigbinde,Festus,Nigeria,3,1,-2,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-231,Pachedzhiev,Georgi,Bulgaria,3,1,-6,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-233,Paquetá,Marcos,Brazil,3,1,-5,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-237,Pedernera,Adolfo,Argentina,3,1,-6,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-251,Porta,Roberto,Uruguay,3,1,-5,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-262,Ramírez,Óscar,Costa Rica,3,1,-3,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-265,Rasic,Rale,Yugoslavia,3,1,-5,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-269,Renard,Hervé,France,3,1,-2,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-279,Saâdane,Rabah,Algeria,6,2,-6,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-291,Săvulescu,Alexandru,Romania,2,1,-1,0.0,0.5,0.5,0.0,7,7
M-299,Selmi,Ali,Poland,3,1,-3,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-307,Souayah,Ammar,Tunisia,3,1,-4,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-346,Vutsov,Ivan,Bulgaria,4,1,-4,0.0,0.5,0.5,0.0,7,7
M-349,Walker,Dawson,Scotland,3,1,-2,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-355,Zaccheroni,Alberto,Italy,3,1,-4,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
M-357,Zico,not applicable,Brazil,3,1,-5,0.0,0.6666666666666666,0.3333333333333333,0.0,7,7
