player_id,family_name,given_name,total_games_played,n_minutes_played,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,0
P-06748,Shilton,Peter,17,1620,3,3,0,0,0,0,0
P-06479,Ceulemans,Jan,16,1505,3,3,0,0,4,0,0
P-07337,Zubizarreta,Andoni,16,1500,4,4,0,0,0,0,0
P-02675,Muslera,Fernando,16,1470,3,3,0,0,0,0,0
P-05135,Bossis,Maxime,15,1385,3,3,0,0,1,0,0
P-05351,Boniek,Zbigniew,16,1283,3,3,0,0,6,0,0
P-02804,Cole,Ashley,14,1275,3,3,0,0,0,0,0
P-00100,Park,Ji-sung,14,1265,3,3,0,0,3,0,0
P-04039,Butcher,Terry,14,1253,3,3,0,0,0,0,0
P-05457,Godín,Diego,14,1216,3,3,0,0,1,0,0
P-06104,Friedrich,Arne,13,1204,2,2,0,0,1,0,0
P-04514,Mazurkiewicz,Ladislao,13,1200,3,3,0,0,0,0,0
P-00790,Popescu,Gheorghe,13,1199,3,3,0,0,0,0,0
P-05914,Van der Elst,Franky,14,1188,4,4,0,0,0,0,0
P-01871,Szymanowski,Antoni,13,1170,2,2,0,0,0,0,0
P-09137,Amoros,Manuel,12,1170,2,2,0,0,1,1,0
P-04105,Yashin,Lev,13,1170,4,3,0,0,0,0,0
P-08763,Deyna,Kazimierz,13,1160,2,2,0,0,4,1,0
P-03957,Gerets,Eric,12,1115,3,3,0,0,0,0,0
P-08555,César,Júlio,12,1110,3,2,0,0,0,0,0
P-05222,Lee,Young-pyo,12,1110,3,3,0,0,0,0,0
P-05665,Courtois,Thibaut,12,1110,2,2,0,0,0,0,0
P-06517,Sipos,Ferenc,12,1080,3,3,0,0,0,0,0
P-02273,Gorgoń,Jerzy,12,1080,2,2,0,0,1,0,0
P-00131,Staunton,Steve,13,1080,3,3,0,0,0,0,0
P-01731,Mátrai,Sándor,12,1080,3,3,0,0,0,0,0
P-01018,Giresse,Alain,12,1079,2,2,0,0,3,0,0
P-00869,Oscar,not applicable,12,1065,3,2,0,0,1,0,0
