player_id,family_name,given_name,total_games_played,n_minutes_played,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,0
P-04256,Kuyt,Dirk,15,1298,3,3,1,0,1,0,2
P-01197,Leão,not applicable,14,1260,4,2,0,1,0,0,2
P-04069,Schulz,Willi,13,1215,3,3,1,0,0,0,2
P-05707,Metzelder,Christoph,13,1200,2,2,1,0,0,0,2
P-02728,Kaltz,Manfred,13,1200,2,2,1,0,0,0,2
P-02737,Frings,Torsten,13,1171,2,2,1,0,1,0,2
P-01742,Romero,Sergio,12,1170,2,2,1,0,0,0,2
P-00685,Schneider,Bernd,14,1162,2,2,1,0,1,0,2
P-08952,Facchetti,Giacinto,12,1110,3,3,1,0,0,0,2
P-01555,Novák,Ladislav,12,1110,3,3,1,0,0,0,2
P-00049,Khedira,Sami,14,1103,3,3,0,1,2,0,2
P-07898,Grosics,Gyula,11,1020,3,3,1,0,0,0,2
P-09477,Mazzola,Sandro,12,992,3,3,1,0,1,0,2
P-02696,Svensson,Kalle,11,990,2,2,1,0,0,0,2
P-02229,Donadoni,Roberto,11,977,2,2,1,0,0,0,2
P-00737,Baggio,Dino,12,974,2,2,1,0,2,0,2
P-00130,Burgnich,Tarcisio,11,963,3,3,1,0,1,0,2
P-05084,Albertini,Demetrio,11,938,2,2,1,0,0,0,2
P-06188,Gallas,William,10,930,2,2,1,0,0,0,2
P-07840,Masopust,Josef,10,930,2,2,1,0,1,0,2
P-05579,Lovren,Dejan,10,921,2,2,1,0,0,0,2
P-06698,van Bronckhorst,Giovanni,10,915,3,2,1,0,1,0,2
P-05588,Rakitić,Ivan,10,910,2,2,1,0,1,0,2
P-09102,Erhardt,Herbert,10,900,3,2,0,1,0,0,2
P-01637,Pagliuca,Gianluca,10,891,3,2,1,0,0,0,2
P-04888,Perišić,Ivan,10,890,2,2,1,0,5,0,2
P-06600,de Jong,Nigel,11,888,2,2,1,0,0,0,2
P-08510,Magath,Felix,10,878,2,2,1,0,0,0,2
P-02074,van Bommel,Mark,10,877,2,2,1,0,0,0,2
P-02956,Rojo,Marcos,9,841,2,2,1,0,2,0,2
P-05607,Hamann,Dietmar,11,841,2,2,1,0,0,0,2
P-01240,Albertosi,Enrico,9,840,4,2,1,0,0,0,2
P-06794,Rodríguez Andrade,Víctor,9,840,2,2,0,1,0,0,2
P-00264,Popluhár,Ján,9,840,2,2,1,0,0,0,2
P-08519,Schiaffino,Juan Alberto,9,840,2,2,0,1,5,0,2
P-01828,Rijsbergen,Wim,10,834,2,2,1,0,0,0,2
P-05903,Antognoni,Giancarlo,11,811,2,2,0,1,0,0,2
P-05254,Pluskal,Svatopluk,9,810,3,3,1,0,0,0,2
P-03611,Skoglund,Lennart,9,810,2,2,1,0,1,0,2
P-01531,Heitinga,John,10,809,2,2,1,0,0,0,2
P-00407,Held,Sigfried,9,805,2,2,1,0,1,0,2
P-03978,Mathijsen,Joris,9,802,2,2,1,0,0,0,2
P-09489,Mandžukić,Mario,8,789,2,2,1,0,5,0,2
P-06507,Ribéry,Franck,10,787,2,2,1,0,1,0,2
P-07699,Demichelis,Martín,8,780,2,2,1,0,1,0,2
P-02726,Kaká,not applicable,10,769,3,3,0,1,1,0,2
P-00453,Basualdo,José,8,759,2,2,1,0,0,0,2
P-04415,Vrsaljko,Šime,8,755,2,2,1,0,0,0,2
P-01210,Abidal,Eric,8,750,2,2,1,0,0,0,2
P-03714,Máspoli,Roque,8,750,2,2,0,1,0,0,2
P-04465,Riva,Gigi,8,750,2,2,1,0,3,0,2
P-00610,Bozsik,József,8,750,2,2,1,0,1,0,2
P-02067,Makélélé,Claude,8,750,2,2,1,0,0,0,2
P-01085,Fischer,Klaus,11,739,2,2,1,0,2,0,2
P-09801,Berti,Nicola,11,723,2,2,1,0,0,0,2
P-04412,Kahn,Oliver,8,720,4,2,1,0,0,0,2
P-03484,Garay,Ezequiel,7,720,1,1,1,0,0,0,2
P-01268,Košťálek,Josef,7,720,2,2,1,0,1,0,2
P-02021,Zabaleta,Pablo,7,720,1,1,1,0,0,0,2
P-05757,Simón,Juan,7,690,1,1,1,0,0,0,2
P-08655,Rosato,Roberto,8,685,2,2,1,0,0,0,2
P-01433,Weber,Wolfgang,8,679,2,2,1,0,1,0,2
P-00838,Kvašňák,Andrej,8,675,2,2,1,0,0,0,2
P-09412,Stielike,Uli,7,660,1,1,1,0,0,0,2
P-03042,van de Kerkhof,Willy,7,660,2,1,1,0,1,0,2
P-08395,Sagnol,Willy,7,660,2,1,1,0,0,0,2
P-09120,Stekelenburg,Maarten,7,660,2,1,1,0,0,0,2
P-02328,Baiano,Júnior,7,660,1,1,1,0,0,0,2
P-03934,Malouda,Florent,9,657,2,2,1,0,1,0,2
P-08592,Eder,Norbert,7,656,1,1,1,0,0,0,2
P-08311,Caju,not applicable,9,654,2,2,0,1,0,0,2
P-03999,Dremmler,Wolfgang,7,632,1,1,1,0,0,0,2
P-04432,Cruyff,Johan,7,630,1,1,1,0,3,0,2
P-07833,Plánička,František,6,630,2,2,1,0,0,0,2
P-00423,Greaves,Jimmy,7,630,2,2,0,1,1,0,2
P-09349,Varela,Obdulio,7,630,2,2,0,1,2,0,2
P-08712,Subašić,Danijel,6,630,2,1,1,0,0,0,2
P-04627,Linke,Thomas,7,630,1,1,1,0,1,0,2
P-06323,Vida,Domagoj,6,630,2,1,1,0,1,0,2
P-03310,Allofs,Klaus,7,616,1,1,1,0,2,0,2
