player_id,family_name,given_name,total_games_played,n_minutes_played,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,0
P-02917,Alberto,Carlos,6,540,1,1,1,1,1,0,1
P-01775,Edmílson,not applicable,6,540,1,1,1,1,1,0,1
P-02842,Mbappé,Kylian,7,535,1,1,1,1,4,0,1
P-04805,Clodoaldo,not applicable,6,524,1,1,1,1,1,0,1
P-05439,Allemandi,Luigi,5,510,1,1,1,1,0,0,1
P-01889,Combi,Gianpiero,5,510,1,1,1,1,0,0,1
P-06734,Orsi,Raimundo,5,510,1,1,1,1,3,0,1
P-09417,Del Piero,Alessandro,12,506,3,3,1,1,2,0,1
P-06449,Reuter,Stefan,7,503,2,2,1,1,0,0,1
P-03638,Toni,Luca,6,483,1,1,1,1,2,0,1
P-00328,Luque,Leopoldo,5,480,1,1,1,1,4,0,1
P-00546,Walter,Ottmar,5,450,1,1,1,1,4,0,1
P-00250,Turek,Toni,5,450,1,1,1,1,0,0,1
P-01070,Morlock,Max,5,450,1,1,1,1,6,0,1
P-05311,Posipal,Josef,5,450,1,1,1,1,0,0,1
P-06027,Mai,Karl,5,450,1,1,1,1,0,0,1
P-03745,Massaro,Daniele,6,444,2,1,1,1,1,0,1
P-08630,Oriali,Gabriele,5,435,1,1,1,1,0,0,1
P-06473,Materazzi,Marco,5,431,2,2,1,1,2,0,1
P-06639,Camoranesi,Mauro,7,431,2,2,1,1,0,0,1
P-05868,Everaldo,not applicable,5,420,1,1,1,1,0,0,1
P-04599,Guaita,Enrique,4,420,1,1,1,1,1,0,1
P-02250,Schiavio,Angelo,4,420,1,1,1,1,4,0,1
P-03612,Gérson,not applicable,5,399,2,2,1,1,1,0,1
P-06001,Rava,Pietro,4,390,1,1,1,1,0,0,1
P-06194,Serantoni,Pietro,4,390,1,1,1,1,0,0,1
P-01232,Bertolini,Luigi,4,390,1,1,1,1,0,0,1
P-08824,Piola,Silvio,4,390,1,1,1,1,5,0,1
P-09615,Andreolo,Michele,4,390,1,1,1,1,0,0,1
P-09119,Olivieri,Aldo,4,390,1,1,1,1,0,0,1
P-04607,Locatelli,Ugo,4,390,1,1,1,1,0,0,1
P-05082,Mazinho,not applicable,6,388,2,1,1,1,0,0,1
P-03059,Fàbregas,Cesc,10,381,3,3,1,1,0,0,1
P-05989,Iriarte,Santos,4,360,1,1,1,1,2,0,1
P-04382,Fernández,Lorenzo,4,360,1,1,1,1,0,0,1
P-01989,Gestido,Álvaro,4,360,1,1,1,1,0,0,1
P-01536,Andrade,José Leandro,4,360,1,1,1,1,0,0,1
P-09951,Amarildo,not applicable,4,360,1,1,1,1,3,0,1
P-08946,Nasazzi,José,4,360,1,1,1,1,0,0,1
P-00724,Cea,Pedro,4,360,1,1,1,1,5,0,1
P-03967,Liebrich,Werner,4,360,1,1,1,1,0,0,1
P-01714,Ballesteros,Enrique,4,360,1,1,1,1,0,0,1
P-03309,Enrique,Héctor,5,332,1,1,1,1,0,0,1
P-03284,Ortiz,Oscar,6,325,1,1,1,1,0,0,1
P-06994,Kléberson,not applicable,6,319,2,2,1,1,0,0,1
P-01937,Leboeuf,Frank,5,300,2,2,1,1,0,0,1
P-05320,Castilho,Carlos José,3,300,4,1,0,2,0,0,1
P-06377,Pedro,not applicable,6,281,2,2,1,1,0,0,1
P-03238,Colaussi,Gino,3,270,1,1,1,1,4,0,1
P-02545,Mascheroni,Ernesto,3,270,1,1,1,1,0,0,1
P-08777,Foni,Alfredo,3,270,1,1,1,1,0,0,1
P-02775,Scarone,Héctor,3,270,1,1,1,1,1,0,1
P-09786,Guivarc'h,Stéphane,6,270,1,1,1,1,0,0,1
P-00275,Dorado,Pablo,3,270,1,1,1,1,2,0,1
P-01621,Biavati,Amedeo,3,270,1,1,1,1,0,0,1
P-08721,Paulista,Juninho,5,266,1,1,1,1,0,0,1
P-02208,Götze,Mario,6,261,1,1,1,1,2,0,1
P-09818,Schürrle,André,6,250,1,1,1,1,3,0,1
P-08162,Karembeu,Christian,4,243,1,1,1,1,0,0,1
P-02196,Boghossian,Alain,5,215,2,1,1,1,0,0,1
P-01640,Ferraris,Attilio,2,210,1,1,1,1,0,0,1
P-02083,Dugarry,Christophe,6,206,2,2,1,1,1,0,1
P-06573,Tolisso,Corentin,5,197,1,1,1,1,0,0,1
P-00826,Castro,Héctor,2,180,1,1,1,1,2,0,1
P-03058,Navas,Jesús,3,180,1,1,1,1,0,0,1
P-07081,Nzonzi,Steven,5,145,1,1,1,1,0,0,1
P-09350,Larrosa,Omar,2,145,1,1,1,1,0,0,1
P-02762,Fekir,Nabil,6,74,1,1,1,1,0,0,1
P-05450,Kramer,Christoph,3,45,1,1,1,1,0,0,1
P-07983,Viola,not applicable,1,15,1,1,1,1,0,0,1
P-00660,Trobbiani,Marcelo,1,1,1,1,1,1,0,0,1
