player_id,total_games_played,n_minutes_played,yellow_card,second_yellow_card,red_card,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,total_own_goals
P-07883,3,210,2,0,0,1,1,0,0,0,0,0
P-03631,3,270,2,0,0,1,1,0,0,0,0,0
P-00601,2,180,2,0,0,1,1,0,0,0,0,0
P-01841,2,180,2,0,0,1,1,0,0,0,0,0
P-07930,6,521,2,0,0,2,2,0,0,0,0,0
P-06204,9,701,2,0,0,3,3,0,0,0,0,0
P-06191,8,775,2,0,0,2,2,0,0,0,0,0
P-04008,3,32,2,0,0,1,1,0,0,0,0,0
P-04043,9,870,2,0,0,2,2,0,0,0,0,0
P-06470,3,270,2,0,0,1,1,0,0,0,0,0
P-06853,6,540,2,0,0,1,1,0,0,1,0,0
P-05393,10,990,2,0,0,2,2,0,0,0,0,0
P-09942,8,445,2,0,0,2,2,1,0,0,0,0
P-02213,3,270,2,0,0,1,1,0,0,0,0,0
P-04406,7,468,2,0,0,2,2,0,0,1,1,0
P-06876,5,450,2,0,1,1,1,0,0,0,0,0
P-06879,4,364,2,0,0,1,1,0,0,1,1,0
P-02273,12,1080,2,0,0,2,2,0,0,1,0,0
P-06884,11,990,2,0,0,3,3,0,0,0,0,0
P-06893,5,450,2,0,0,2,2,0,0,0,0,0
P-06901,5,450,2,0,0,2,2,0,0,0,0,0
P-00895,5,450,2,0,0,1,1,0,0,1,0,0
P-04403,2,135,2,0,0,1,1,0,0,0,0,0
P-09932,7,473,2,0,0,2,2,0,0,2,1,0
P-04391,3,270,2,0,0,1,1,0,0,0,0,0
P-06954,4,360,2,0,0,1,1,0,0,0,0,0
P-05396,10,930,2,0,0,2,2,0,0,0,0,0
P-06595,6,532,2,0,0,2,2,0,0,3,0,0
P-00035,2,180,2,0,0,1,1,0,0,0,0,0
P-05405,3,300,2,0,0,1,1,0,0,0,0,0
P-04359,9,683,2,1,0,3,3,0,0,0,0,0
P-01344,5,449,2,0,1,2,2,0,0,2,0,0
P-00874,7,587,2,0,0,3,2,0,0,0,0,0
P-04319,6,439,2,0,0,1,1,1,0,1,0,0
P-05392,12,987,2,0,0,3,3,0,0,10,4,0
P-06852,6,523,2,0,0,2,2,0,0,0,0,0
P-09891,6,540,2,0,0,2,2,0,0,0,0,0
P-04637,3,129,2,0,0,1,1,0,0,0,0,0
P-06691,7,648,2,0,0,2,2,0,0,0,0,0
P-09993,3,280,2,0,0,1,1,0,0,0,0,0
P-04532,4,360,2,0,0,4,2,0,0,0,0,0
P-06668,8,427,2,0,0,3,3,0,0,0,0,0
P-04493,6,525,2,0,0,2,2,0,0,0,0,0
P-06717,9,765,2,0,0,2,2,0,0,1,0,0
P-09989,6,482,2,1,0,2,2,0,0,1,0,0
P-01366,7,595,2,0,0,1,1,1,1,0,0,0
P-01357,6,539,2,0,0,1,1,0,0,2,0,0
P-00949,4,360,2,0,0,1,1,0,0,0,0,0
P-04463,5,479,2,0,1,2,2,0,0,0,0,0
P-06770,7,630,2,0,0,1,1,0,0,0,0,0
P-04601,19,1625,2,0,0,4,3,2,2,15,1,0
P-01630,5,434,2,0,0,2,2,0,0,0,0,0
P-00937,10,930,2,0,0,2,2,0,0,0,0,0
P-06802,3,192,2,0,0,1,1,0,0,0,0,0
P-04432,7,630,2,0,0,1,1,1,0,3,0,0
P-06807,8,706,2,0,0,2,2,0,0,1,0,0
P-06808,17,1560,2,0,0,3,3,2,1,1,0,0
P-09966,5,365,2,0,0,1,1,0,0,0,0,0
P-06823,10,875,2,0,0,3,3,0,0,1,0,0
P-04415,8,755,2,0,0,2,2,1,0,0,0,0
P-04410,6,526,2,0,0,1,1,0,0,0,0,0
P-06578,11,922,2,0,0,2,2,1,1,1,0,0
P-01577,3,270,2,0,0,1,1,0,0,0,0,0
P-04039,14,1253,2,0,0,3,3,0,0,0,0,0
P-02198,3,270,2,0,0,1,1,0,0,0,0,0
P-00801,3,217,2,0,0,1,1,0,0,0,0,0
P-00799,3,235,2,0,0,1,1,0,0,0,0,0
P-00057,4,360,2,0,0,1,1,0,0,1,1,0
P-01038,11,981,2,1,0,2,2,1,1,0,0,0
P-00796,5,468,2,0,0,1,1,0,0,0,0,0
P-09857,13,1180,2,0,0,2,2,2,0,0,0,0
P-07241,3,46,2,0,0,1,1,0,0,0,0,0
P-00791,7,593,2,0,0,2,2,0,0,1,1,0
P-00059,2,180,2,0,0,1,1,0,0,0,0,0
P-06493,10,927,2,0,0,3,3,0,0,0,0,0
P-01721,9,740,2,0,0,2,2,0,0,1,0,0
P-07271,12,945,2,0,0,3,3,2,1,2,0,0
P-06492,2,180,2,0,0,1,1,0,0,0,0,0
P-04090,6,503,2,0,0,2,2,0,0,0,0,0
P-04081,2,79,2,0,0,1,1,0,0,0,0,0
P-04071,6,570,2,0,0,1,1,0,0,1,0,0
P-01728,19,1764,2,0,0,3,3,2,1,3,0,0
P-04066,9,806,2,1,0,2,2,0,0,0,0,0
P-07318,2,180,2,0,0,1,1,0,0,0,0,0
P-00764,9,840,2,0,0,2,2,0,0,0,0,0
P-07324,3,270,2,0,0,1,1,0,0,0,0,0
P-04720,3,270,2,0,0,1,1,0,0,0,0,0
P-06112,3,270,2,0,0,1,1,0,0,0,0,0
P-06507,10,787,2,0,0,2,2,1,0,1,0,0
P-07211,3,260,2,0,0,1,1,0,0,0,0,0
P-01576,10,907,2,0,0,2,2,0,0,6,1,0
P-02304,7,690,2,0,0,1,1,1,1,0,0,0
P-00046,6,540,2,0,0,2,2,0,0,0,0,0
P-00049,14,1103,2,0,0,3,3,0,1,2,0,0
P-04282,7,644,2,0,0,2,1,0,0,0,0,0
P-04256,15,1298,2,0,0,3,3,1,0,1,0,0
P-04250,5,417,2,0,0,1,1,0,0,0,0,0
P-04248,11,1020,2,0,0,3,3,0,0,1,0,0
P-07103,10,622,2,0,0,3,2,0,0,3,0,0
P-09885,9,766,2,0,0,3,3,0,0,0,0,0
P-07105,2,156,2,0,0,1,1,0,0,0,0,0
P-01022,2,149,2,0,0,1,1,0,0,0,0,0
P-04214,11,887,2,0,0,2,2,0,0,3,1,0
P-07127,5,237,2,0,0,2,2,0,0,0,0,0
P-01705,10,691,2,0,1,4,4,0,0,0,0,0
P-07147,7,460,2,0,0,2,2,0,0,4,0,0
P-00829,5,441,2,0,0,1,1,0,0,0,0,0
P-07156,8,706,2,0,0,2,2,0,0,0,0,0
P-06548,3,266,2,0,0,1,1,0,0,0,0,0
P-07171,4,390,2,0,0,1,1,0,0,0,0,0
P-06545,6,459,2,0,0,1,1,0,0,0,0,0
P-00816,7,423,2,0,0,2,2,0,0,0,0,0
P-00809,3,267,2,0,0,1,1,0,0,0,0,0
P-09874,7,663,2,0,0,2,2,0,0,0,0,0
P-00806,3,195,2,0,0,1,1,0,0,0,0,0
P-08170,11,844,2,0,0,3,3,0,0,0,0,0
P-05448,9,731,2,0,0,3,2,1,1,0,0,0
P-00142,5,323,2,0,0,2,2,0,0,0,0,0
P-08747,7,601,2,0,0,2,2,0,0,4,0,0
P-09199,4,207,2,0,0,1,1,0,0,1,0,0
P-09188,4,420,2,0,0,1,1,0,0,0,0,0
P-05846,3,269,2,0,0,1,1,0,0,1,0,0
P-08681,5,445,2,0,0,1,1,0,0,4,0,0
P-01978,9,685,2,0,0,3,3,0,0,0,0,0
P-05672,3,270,2,0,0,1,1,0,0,0,0,0
P-01302,4,268,2,0,0,3,2,0,0,1,0,0
P-05082,6,388,2,0,0,2,1,1,1,0,0,0
P-01216,6,540,2,0,0,2,2,0,0,0,0,0
P-00139,5,421,2,0,0,2,2,0,0,0,0,0
P-01218,6,517,2,0,0,2,2,0,0,3,0,0
P-09167,6,540,2,0,0,2,2,0,0,1,0,0
P-05548,18,1609,2,0,0,3,3,1,1,1,0,0
P-02520,5,405,2,0,0,1,1,0,0,0,0,0
P-09161,8,750,2,0,0,3,2,0,0,0,0,0
P-02730,7,569,2,0,0,1,1,1,0,0,0,0
P-00361,6,528,2,0,0,2,2,0,0,2,0,0
P-08734,5,370,2,0,0,1,1,0,0,1,0,0
P-05815,18,1620,2,0,0,3,3,1,1,0,0,0
P-05660,8,703,2,0,0,2,2,0,0,1,0,0
P-08648,3,270,2,0,0,1,1,0,0,0,0,0
P-00386,2,180,2,0,0,1,1,0,0,0,0,0
P-09242,6,424,2,0,0,2,2,0,0,0,0,0
P-08557,10,930,2,0,0,2,2,0,0,0,0,0
P-09279,7,542,2,0,0,2,2,0,0,0,0,0
P-09277,7,625,2,0,0,2,2,0,0,1,0,0
P-05879,6,534,2,0,0,2,2,0,0,0,0,0
P-00229,6,495,2,0,0,2,2,0,0,0,0,0
P-03120,6,517,2,0,0,2,2,0,0,1,0,0
P-02685,5,379,2,0,0,2,2,0,0,0,0,0
P-00234,17,1577,2,0,0,4,4,1,1,0,0,0
P-01968,12,1018,2,0,0,4,3,0,0,5,3,0
P-08646,7,609,2,0,0,2,2,1,0,2,0,0
P-08602,7,579,2,0,0,1,1,0,0,5,0,0
P-09607,2,180,2,0,0,1,1,0,0,0,0,0
P-03096,4,288,2,0,0,2,2,0,0,0,0,0
P-05056,9,564,2,0,0,2,2,0,0,2,0,0
P-02694,6,570,2,0,0,2,2,0,0,0,0,0
P-02695,8,780,2,0,0,2,2,0,0,0,0,0
P-08630,5,435,2,0,0,1,1,1,1,0,0,0
P-02147,8,720,2,0,0,2,2,0,0,0,0,1
P-08746,6,506,2,0,0,2,2,0,0,0,0,0
P-05574,7,660,2,0,0,2,2,0,0,0,0,0
P-05014,11,830,2,0,0,4,4,0,0,0,0,0
P-08757,6,473,2,0,0,2,2,0,0,0,0,0
P-05117,6,266,2,0,0,2,2,0,0,0,0,0
P-02497,7,619,2,0,0,3,3,0,0,0,0,0
P-09479,6,515,2,0,0,2,2,0,0,0,0,0
P-00276,7,628,2,0,0,2,2,0,0,0,0,0
P-05707,13,1200,2,0,0,2,2,1,0,0,0,0
P-09111,3,270,2,0,0,1,1,0,0,0,0,0
P-02498,8,720,2,0,0,2,2,0,0,0,0,0
P-08992,5,415,2,0,0,2,2,0,0,0,0,0
P-05737,7,532,2,0,1,2,2,0,0,0,0,0
P-02028,12,940,2,0,0,4,4,0,0,0,0,0
P-00295,11,662,2,0,0,3,3,0,0,0,0,0
P-09006,3,169,2,0,0,1,1,0,0,0,0,0
P-02842,7,535,2,0,0,1,1,1,1,4,0,0
P-05734,4,285,2,0,0,2,2,0,0,0,0,0
P-02800,8,587,2,0,0,3,3,1,0,0,0,0
P-09022,4,360,2,0,0,1,1,0,0,0,0,0
P-09033,7,630,2,0,0,2,2,0,0,1,1,0
P-01429,4,297,2,0,0,2,2,0,0,0,0,1
P-02816,5,337,2,0,0,2,2,0,0,0,0,0
P-02865,7,615,2,0,0,1,1,0,0,2,0,0
P-01435,6,570,2,0,0,2,2,0,0,0,0,0
P-09489,8,789,2,0,0,2,2,1,0,5,0,1
P-00148,18,1675,2,0,0,3,3,2,1,0,0,0
P-05131,8,714,2,0,0,2,2,0,0,1,1,0
P-08768,7,578,2,0,0,2,2,0,0,0,0,0
P-09147,5,405,2,0,0,3,2,0,0,0,0,0
P-09546,7,660,2,0,0,1,1,0,0,0,0,0
P-05800,5,406,2,0,0,2,2,0,0,0,0,0
P-08790,3,220,2,0,0,1,1,0,0,0,0,0
P-02483,13,1230,2,0,0,2,2,1,1,14,1,0
P-02964,8,680,2,0,0,2,2,0,0,0,0,0
P-02485,7,651,2,0,0,2,2,0,0,2,0,0
P-05702,4,390,2,0,0,2,2,0,0,0,0,0
P-02486,4,326,2,0,0,1,1,0,0,0,0,0
P-05696,7,565,2,0,0,1,1,0,0,2,0,0
P-00329,19,1770,2,0,0,3,3,1,1,0,0,1
P-00270,4,360,2,0,0,1,1,0,0,0,0,0
P-01440,3,257,2,0,0,1,1,0,0,0,0,0
P-08859,4,360,2,0,0,1,1,0,0,0,0,0
P-05768,3,270,2,0,0,1,1,0,0,0,0,0
P-08887,5,351,2,0,1,2,2,0,0,0,0,0
P-03163,5,246,2,0,0,2,2,0,0,0,0,0
P-01266,11,813,2,1,0,2,2,1,1,1,1,0
P-05006,4,352,2,0,0,1,1,0,0,0,0,0
P-03353,9,523,2,0,0,2,2,1,0,0,0,0
P-01919,8,681,2,0,0,2,2,0,0,1,0,0
P-00514,6,472,2,0,0,3,2,0,0,1,0,0
P-09367,6,342,2,0,0,2,2,0,0,2,0,0
P-06072,3,195,2,0,0,1,1,0,0,1,1,0
P-03356,7,660,2,0,0,2,2,0,0,0,0,0
P-00125,6,540,2,0,0,2,2,0,0,0,0,0
P-06083,11,894,2,0,0,2,2,1,1,2,0,0
P-05606,6,495,2,0,0,2,2,0,0,0,0,0
P-09412,7,660,2,0,0,1,1,1,0,0,0,0
P-08437,9,833,2,0,0,2,2,0,0,0,0,0
P-05638,5,450,2,0,0,2,2,0,0,0,0,0
P-03344,4,360,2,0,0,1,1,0,0,0,0,0
P-02636,6,540,2,0,0,1,1,0,0,1,0,0
P-05987,6,481,2,0,0,2,2,0,0,1,0,0
P-03420,3,270,2,0,0,1,1,0,0,0,0,0
P-08231,6,540,2,0,0,1,1,1,1,0,0,0
P-08413,8,625,2,0,0,2,2,0,0,1,0,0
P-08408,14,1105,2,0,0,3,3,1,1,0,0,0
P-09409,7,590,2,0,0,1,1,1,1,0,0,0
P-00485,20,1920,2,0,0,3,3,1,1,1,0,0
P-04916,4,268,2,0,0,1,1,0,0,1,0,0
P-01908,11,1009,2,0,1,2,2,1,1,0,0,0
P-04922,6,540,2,0,0,2,2,0,0,0,0,0
P-09697,13,927,2,0,0,3,3,0,0,5,1,0
P-08375,3,265,2,0,0,1,1,0,0,0,0,0
P-08379,12,858,2,0,0,3,3,0,0,1,0,0
P-00496,2,136,2,0,0,1,1,0,0,0,0,0
P-08288,5,403,2,1,0,2,2,0,0,0,0,0
P-00512,2,180,2,0,0,1,1,0,0,0,0,0
P-08388,6,540,2,0,0,1,1,0,0,0,0,0
P-03363,9,593,2,0,1,2,2,1,0,1,0,0
P-06685,4,360,2,0,0,1,1,0,1,0,0,0
P-09690,10,930,2,0,0,3,3,0,0,1,0,0
P-00489,2,180,2,0,0,2,1,0,0,0,0,0
P-06026,5,495,2,0,0,1,1,0,0,0,0,0
P-06090,6,511,2,0,0,2,2,0,0,0,0,0
P-02541,3,270,2,0,0,1,1,0,0,0,0,0
P-05579,10,921,2,0,0,2,2,1,0,0,0,0
P-05647,3,220,2,0,0,1,1,0,0,1,0,0
P-03244,13,1021,2,0,0,3,3,1,1,2,1,0
P-05588,10,910,2,0,0,2,2,1,0,1,0,0
P-05642,9,678,2,0,0,3,3,1,1,0,0,0
