match_name,score,yellow_card,red_card,substitutions,squad_x_play_in_the_match
Brazil v Sweden,6,8,0,10,0
Brazil v Sweden,6,8,0,10,0
Brazil v Sweden,6,8,0,10,0
Spain v Uruguay,0,4,0,4,0
Spain v Uruguay,0,4,0,4,0
Brazil v Spain,5,1,0,4,0
Brazil v Spain,5,1,0,4,0
Brazil v Spain,5,1,0,4,0
Brazil v Spain,5,1,0,4,0
Brazil v Spain,5,1,0,4,0
Sweden v Uruguay,-1,0,0,0,0
Sweden v Uruguay,-1,0,0,0,0
Sweden v Uruguay,-1,0,0,0,0
Spain v Sweden,-2,0,0,0,0
Spain v Sweden,-2,0,0,0,0
Brazil v Uruguay,-1,0,0,0,0
Brazil v Uruguay,-1,0,0,0,0
Brazil v Mexico,5,10,0,12,0
Brazil v Mexico,5,10,0,12,0
Brazil v Mexico,5,10,0,12,0
Brazil v Mexico,5,10,0,12,0
Brazil v Mexico,5,10,0,12,0
France v Yugoslavia,-1,0,0,0,0
France v Yugoslavia,-1,0,0,0,0
Austria v Scotland,1,0,0,0,0
Czechoslovakia v Uruguay,-2,0,0,0,0
Italy v Switzerland,-1,0,0,0,1
Italy v Switzerland,-1,0,0,0,1
Italy v Switzerland,-1,0,0,0,1
Hungary v South Korea,9,0,0,0,0
Turkey v West Germany,-3,0,0,0,0
Turkey v West Germany,-3,0,0,0,0
Belgium v England,0,3,0,8,0
Belgium v England,0,3,0,8,0
Belgium v England,0,3,0,8,0
Belgium v England,0,3,0,8,0
Scotland v Uruguay,-7,0,0,0,0
Scotland v Uruguay,-7,0,0,0,0
Brazil v Yugoslavia,0,2,0,0,0
Brazil v Yugoslavia,0,2,0,0,0
Brazil v Yugoslavia,0,2,0,0,0
Brazil v Yugoslavia,0,2,0,0,0
Austria v Czechoslovakia,5,5,0,4,0
Austria v Czechoslovakia,5,5,0,4,0
France v Mexico,1,6,0,5,0
France v Mexico,1,6,0,5,0
France v Mexico,1,6,0,5,0
France v Mexico,1,6,0,5,0
Hungary v West Germany,5,0,0,0,0
Hungary v West Germany,5,0,0,0,0
South Korea v Turkey,-7,0,0,0,0
South Korea v Turkey,-7,0,0,0,0
Belgium v Italy,-3,0,0,0,1
England v Switzerland,2,0,0,0,0
Turkey v West Germany,-5,0,0,0,0
Turkey v West Germany,-5,0,0,0,0
Italy v Switzerland,-3,0,0,0,1
Italy v Switzerland,-3,0,0,0,1
Italy v Switzerland,-3,0,0,0,1
Austria v Switzerland,2,0,0,0,0
England v Uruguay,-2,2,0,6,0
England v Uruguay,-2,2,0,6,0
England v Uruguay,-2,2,0,6,0
Brazil v Hungary,-2,0,1,0,0
Brazil v Hungary,-2,0,1,0,0
West Germany v Yugoslavia,2,1,0,4,0
West Germany v Yugoslavia,2,1,0,4,0
West Germany v Yugoslavia,2,1,0,4,0
West Germany v Yugoslavia,2,1,0,4,0
West Germany v Yugoslavia,2,1,0,4,0
Hungary v Uruguay,2,0,0,0,0
Austria v West Germany,-5,2,0,2,0
Austria v West Germany,-5,2,0,2,0
Austria v West Germany,-5,2,0,2,0
Austria v Uruguay,2,0,0,0,0
Hungary v West Germany,-1,0,0,0,0
Hungary v West Germany,-1,0,0,0,0
Mexico v Sweden,-3,0,0,0,0
Mexico v Sweden,-3,0,0,0,0
Argentina v West Germany,-2,6,0,3,0
Argentina v West Germany,-2,6,0,3,0
Argentina v West Germany,-2,6,0,3,0
Argentina v West Germany,-2,6,0,3,0
Czechoslovakia v Northern Ireland,-1,0,1,0,0
Czechoslovakia v Northern Ireland,-1,0,1,0,0
France v Paraguay,4,5,0,6,0
France v Paraguay,4,5,0,6,0
Scotland v Yugoslavia,0,0,0,0,0
Scotland v Yugoslavia,0,0,0,0,0
Hungary v Wales,0,0,0,0,0
Hungary v Wales,0,0,0,0,0
Austria v Brazil,-3,0,0,4,0
Austria v Brazil,-3,0,0,4,0
England v Soviet Union,0,0,0,0,0
England v Soviet Union,0,0,0,0,0
Argentina v Northern Ireland,2,0,0,0,0
Czechoslovakia v West Germany,0,0,0,0,0
Czechoslovakia v West Germany,0,0,0,0,0
Paraguay v Scotland,1,0,0,0,0
France v Yugoslavia,-1,0,0,0,0
France v Yugoslavia,-1,0,0,0,0
Mexico v Wales,0,0,0,0,0
Brazil v England,0,1,0,3,0
Brazil v England,0,1,0,3,0
Brazil v England,0,1,0,3,0
Brazil v England,0,1,0,3,0
Austria v Soviet Union,-2,0,0,0,0
Hungary v Sweden,-1,0,0,0,0
Hungary v Sweden,-1,0,0,0,0
Sweden v Wales,0,0,0,0,0
Argentina v Czechoslovakia,-5,0,0,0,0
Northern Ireland v West Germany,0,0,0,0,0
France v Scotland,1,0,0,0,0
Paraguay v Yugoslavia,0,0,0,0,0
Hungary v Mexico,4,0,0,0,0
Brazil v Soviet Union,2,0,0,3,0
Brazil v Soviet Union,2,0,0,3,0
Austria v England,0,0,0,0,0
Czechoslovakia v Northern Ireland,-1,0,1,0,0
Czechoslovakia v Northern Ireland,-1,0,1,0,0
Hungary v Wales,-1,0,1,0,0
Hungary v Wales,-1,0,1,0,0
England v Soviet Union,-1,0,0,0,0
England v Soviet Union,-1,0,0,0,0
Brazil v Wales,1,0,0,0,0
France v Northern Ireland,4,2,0,3,0
France v Northern Ireland,4,2,0,3,0
Soviet Union v Sweden,-2,0,0,0,0
West Germany v Yugoslavia,1,1,0,4,0
West Germany v Yugoslavia,1,1,0,4,0
West Germany v Yugoslavia,1,1,0,4,0
West Germany v Yugoslavia,1,1,0,4,0
West Germany v Yugoslavia,1,1,0,4,0
Brazil v France,3,13,1,15,0
Brazil v France,3,13,1,15,0
Brazil v France,3,13,1,15,0
Brazil v France,3,13,1,15,0
Sweden v West Germany,2,0,1,0,0
Sweden v West Germany,2,0,1,0,0
France v West Germany,3,2,0,3,0
France v West Germany,3,2,0,3,0
France v West Germany,3,2,0,3,0
Brazil v Sweden,3,8,0,10,0
Brazil v Sweden,3,8,0,10,0
Brazil v Sweden,3,8,0,10,0
Brazil v Sweden,3,8,0,10,0
Brazil v Sweden,3,8,0,10,0
Brazil v Sweden,3,8,0,10,0
Brazil v Sweden,3,8,0,10,0
Colombia v Uruguay,-1,0,0,0,0
Colombia v Uruguay,-1,0,0,0,0
Chile v Switzerland,2,9,1,6,0
Chile v Switzerland,2,9,1,6,0
Brazil v Mexico,2,10,0,12,0
Brazil v Mexico,2,10,0,12,0
Brazil v Mexico,2,10,0,12,0
Brazil v Mexico,2,10,0,12,0
Brazil v Mexico,2,10,0,12,0
Argentina v Bulgaria,1,11,1,8,0
Argentina v Bulgaria,1,11,1,8,0
Argentina v Bulgaria,1,11,1,8,0
Soviet Union v Yugoslavia,2,0,0,0,0
Italy v West Germany,0,0,0,0,1
Italy v West Germany,0,0,0,0,1
Italy v West Germany,0,0,0,0,1
Italy v West Germany,0,0,0,0,1
Czechoslovakia v Spain,1,0,0,0,0
England v Hungary,-1,0,0,0,0
Uruguay v Yugoslavia,-2,0,2,0,0
Uruguay v Yugoslavia,-2,0,2,0,0
Chile v Italy,2,0,2,0,1
Chile v Italy,2,0,2,0,1
Chile v Italy,2,0,2,0,1
Brazil v Czechoslovakia,0,1,3,3,0
Brazil v Czechoslovakia,0,1,3,3,0
Brazil v Czechoslovakia,0,1,3,3,0
Brazil v Czechoslovakia,0,1,3,3,0
Brazil v Czechoslovakia,0,1,3,3,0
Argentina v England,-2,3,1,0,0
Argentina v England,-2,3,1,0,0
Argentina v England,-2,3,1,0,0
Argentina v England,-2,3,1,0,0
Argentina v England,-2,3,1,0,0
Colombia v Soviet Union,0,0,0,0,0
Switzerland v West Germany,-1,0,0,0,0
Switzerland v West Germany,-1,0,0,0,0
Mexico v Spain,-1,0,0,0,0
Bulgaria v Hungary,-5,0,0,0,0
Bulgaria v Hungary,-5,0,0,0,0
Soviet Union v Uruguay,1,6,0,4,0
Soviet Union v Uruguay,1,6,0,4,0
Chile v West Germany,-2,5,1,7,0
Chile v West Germany,-2,5,1,7,0
Chile v West Germany,-2,5,1,7,0
Brazil v Spain,1,1,0,4,0
Brazil v Spain,1,1,0,4,0
Brazil v Spain,1,1,0,4,0
Brazil v Spain,1,1,0,4,0
Brazil v Spain,1,1,0,4,0
Argentina v Hungary,0,0,0,0,0
Argentina v Hungary,0,0,0,0,0
Argentina v Hungary,0,0,0,0,0
Colombia v Yugoslavia,-5,1,0,4,0
Colombia v Yugoslavia,-5,1,0,4,0
Italy v Switzerland,3,0,0,0,1
Italy v Switzerland,3,0,0,0,1
Italy v Switzerland,3,0,0,0,1
Czechoslovakia v Mexico,-2,0,0,0,0
Bulgaria v England,0,0,0,0,0
Brazil v England,2,1,0,3,0
Brazil v England,2,1,0,3,0
Brazil v England,2,1,0,3,0
Brazil v England,2,1,0,3,0
Chile v Soviet Union,1,0,0,0,0
Chile v Soviet Union,1,0,0,0,0
Czechoslovakia v Hungary,1,0,0,0,0
West Germany v Yugoslavia,-1,4,0,4,0
West Germany v Yugoslavia,-1,4,0,4,0
West Germany v Yugoslavia,-1,4,0,4,0
West Germany v Yugoslavia,-1,4,0,4,0
West Germany v Yugoslavia,-1,4,0,4,0
Brazil v Chile,2,16,0,17,0
Brazil v Chile,2,16,0,17,0
Brazil v Chile,2,16,0,17,0
Brazil v Chile,2,16,0,17,0
Czechoslovakia v Yugoslavia,2,0,0,0,0
Chile v Yugoslavia,1,0,0,0,0
Brazil v Czechoslovakia,2,1,3,3,0
Brazil v Czechoslovakia,2,1,3,3,0
Brazil v Czechoslovakia,2,1,3,3,0
Brazil v Czechoslovakia,2,1,3,3,0
Brazil v Czechoslovakia,2,1,3,3,0
England v Uruguay,0,0,0,0,0
England v Uruguay,0,0,0,0,0
England v Uruguay,0,0,0,0,0
Switzerland v West Germany,-5,0,0,0,0
Switzerland v West Germany,-5,0,0,0,0
Brazil v Bulgaria,2,0,0,0,0
North Korea v Soviet Union,-3,1,0,0,0
France v Mexico,0,6,0,5,0
France v Mexico,0,6,0,5,0
France v Mexico,0,6,0,5,0
France v Mexico,0,6,0,5,0
Argentina v Spain,1,0,0,0,0
Hungary v Portugal,-2,0,0,0,0
Chile v Italy,-2,5,0,6,1
Chile v Italy,-2,5,0,6,1
Chile v Italy,-2,5,0,6,1
France v Uruguay,-1,12,1,12,0
France v Uruguay,-1,12,1,12,0
France v Uruguay,-1,12,1,12,0
France v Uruguay,-1,12,1,12,0
Spain v Switzerland,1,12,0,10,0
Spain v Switzerland,1,12,0,10,0
Spain v Switzerland,1,12,0,10,0
Brazil v Hungary,-2,0,1,0,0
Brazil v Hungary,-2,0,1,0,0
Chile v North Korea,0,0,0,0,0
Argentina v West Germany,0,6,0,3,0
Argentina v West Germany,0,6,0,3,0
Argentina v West Germany,0,6,0,3,0
Argentina v West Germany,0,6,0,3,0
Bulgaria v Portugal,-3,0,0,0,0
Italy v Soviet Union,-1,0,0,0,1
England v Mexico,2,0,0,0,0
Mexico v Uruguay,0,3,0,5,0
Mexico v Uruguay,0,3,0,5,0
Argentina v Switzerland,2,5,0,6,0
Argentina v Switzerland,2,5,0,6,0
Brazil v Portugal,-2,7,0,6,0
Brazil v Portugal,-2,7,0,6,0
Italy v North Korea,-1,0,0,0,1
England v France,2,1,0,3,0
England v France,2,1,0,3,0
Spain v West Germany,-1,5,0,3,0
Spain v West Germany,-1,5,0,3,0
Bulgaria v Hungary,-2,0,0,0,0
Bulgaria v Hungary,-2,0,0,0,0
Chile v Soviet Union,-1,0,0,0,0
Chile v Soviet Union,-1,0,0,0,0
Argentina v England,-1,3,1,0,0
Argentina v England,-1,3,1,0,0
Argentina v England,-1,3,1,0,0
Argentina v England,-1,3,1,0,0
Argentina v England,-1,3,1,0,0
North Korea v Portugal,-2,4,0,6,0
