match_name,total_teams_score,yellow_card,red_card,substitutions,n_same_squad_match
Brazil v Uruguay,7,4,0,1,2
Brazil v Wales,1,0,0,0,1
Brazil v Yugoslavia,7,6,0,0,4
Brazil v Zaire,3,2,0,4,1
Bulgaria v England,0,0,0,0,1
Bulgaria v Germany,3,8,0,4,1
Bulgaria v Greece,4,8,0,4,1
Bulgaria v Hungary,11,0,0,0,2
Bulgaria v Italy,5,16,0,14,2
Bulgaria v Mexico,4,26,4,10,2
Bulgaria v Morocco,2,0,0,4,1
Bulgaria v Netherlands,5,5,0,4,1
Bulgaria v Nigeria,4,16,0,20,2
Bulgaria v Paraguay,0,6,1,5,1
Bulgaria v Peru,5,0,0,4,1
Bulgaria v Portugal,3,0,0,0,1
Bulgaria v South Korea,2,3,0,4,1
Bulgaria v Spain,7,4,0,6,1
Bulgaria v Sweden,4,4,0,14,2
Bulgaria v Uruguay,2,2,0,3,1
Bulgaria v West Germany,7,0,0,4,1
Cameroon v Chile,2,5,2,6,1
Cameroon v Colombia,3,6,0,4,1
Cameroon v Croatia,4,1,1,6,1
Cameroon v Denmark,3,4,0,6,1
Cameroon v England,5,4,0,4,1
Cameroon v Germany,2,18,2,6,1
Cameroon v Italy,5,16,2,12,2
Cameroon v Japan,1,2,0,6,1
Cameroon v Mexico,1,2,0,5,1
Cameroon v Netherlands,3,5,0,6,1
Cameroon v Peru,0,1,0,4,1
Cameroon v Poland,0,3,0,3,1
Cameroon v Republic of Ireland,2,4,0,3,1
Cameroon v Romania,3,3,0,4,1
Cameroon v Russia,7,5,0,4,1
Cameroon v Saudi Arabia,1,2,0,6,1
Cameroon v Soviet Union,4,3,0,4,1
Cameroon v Sweden,4,2,0,4,1
Canada v France,1,0,0,3,1
Canada v Hungary,2,4,1,4,1
Canada v Soviet Union,2,0,0,4,1
Chile v East Germany,2,3,0,4,1
Chile v England,2,0,0,0,1
Chile v France,1,0,0,0,1
Chile v Honduras,1,3,0,6,1
Chile v Italy,8,10,2,12,3
Chile v Mexico,3,0,0,0,1
Chile v Netherlands,2,2,0,6,1
Chile v North Korea,2,0,0,0,1
Chile v Soviet Union,6,0,0,0,2
Chile v Spain,7,11,1,17,3
Chile v Switzerland,5,18,2,12,2
Chile v United States,7,0,0,0,1
Chile v West Germany,8,15,3,21,3
Chile v Yugoslavia,1,0,0,0,1
China v Costa Rica,2,7,0,6,1
China v Turkey,3,5,1,6,1
Colombia v England,4,26,0,28,2
Colombia v Greece,3,3,0,6,1
Colombia v Ivory Coast,3,2,0,6,1
Colombia v Japan,8,5,1,12,2
Colombia v Poland,3,2,0,6,1
Colombia v Romania,5,8,0,7,2
Colombia v Senegal,1,2,0,6,1
Colombia v Soviet Union,8,0,0,0,1
Colombia v Switzerland,2,5,0,4,1
Colombia v Tunisia,1,3,0,6,1
Colombia v United Arab Emirates,2,3,0,3,1
Colombia v United States,3,2,0,4,1
Colombia v Uruguay,5,2,0,6,2
Colombia v West Germany,2,4,0,2,1
Colombia v Yugoslavia,6,2,0,8,2
Costa Rica v Czechoslovakia,5,5,0,2,1
Costa Rica v Ecuador,3,5,0,6,1
Costa Rica v England,0,3,0,6,1
Costa Rica v Germany,6,1,0,6,1
Costa Rica v Greece,2,8,1,6,1
Costa Rica v Italy,1,2,0,6,1
Costa Rica v Netherlands,0,6,0,6,1
Costa Rica v Poland,3,10,0,6,1
Costa Rica v Scotland,1,0,0,3,1
Costa Rica v Serbia,1,4,0,6,1
Costa Rica v Sweden,3,4,0,4,1
Costa Rica v Switzerland,4,6,0,6,1
Costa Rica v Turkey,2,5,0,6,1
Costa Rica v Uruguay,4,3,1,6,1
Croatia v Denmark,2,1,0,8,1
Croatia v Ecuador,1,3,0,5,1
Croatia v England,3,3,0,8,1
Croatia v France,9,12,2,20,2
Croatia v Germany,3,4,1,3,1
Croatia v Iceland,3,5,0,6,1
Croatia v Italy,3,2,0,5,1
Croatia v Jamaica,4,3,0,4,1
Croatia v Japan,1,20,0,24,2
Croatia v Mexico,5,6,4,22,2
Croatia v Netherlands,3,6,0,4,1
Croatia v Nigeria,2,3,0,6,1
Croatia v Romania,1,5,0,5,1
Croatia v Russia,4,5,0,8,1
Cuba v Romania,9,0,0,0,2
Cuba v Sweden,8,0,0,0,1
Czech Republic v Ghana,2,7,1,6,1
Czech Republic v Italy,2,4,1,6,1
Czech Republic v United States,3,6,0,6,1
Czechoslovakia v England,3,4,0,12,2
Czechoslovakia v France,2,2,1,4,1
Czechoslovakia v Germany,4,0,0,0,1
Czechoslovakia v Hungary,1,0,0,0,1
Czechoslovakia v Italy,5,8,0,8,2
Czechoslovakia v Kuwait,2,0,0,3,1
Czechoslovakia v Mexico,4,0,0,0,1
Czechoslovakia v Netherlands,3,0,0,0,1
Czechoslovakia v Northern Ireland,4,0,2,0,2
Czechoslovakia v Romania,6,2,0,4,2
Czechoslovakia v Spain,1,0,0,0,1
Czechoslovakia v Switzerland,5,0,0,0,1
Czechoslovakia v United States,6,4,1,4,1
Czechoslovakia v Uruguay,2,0,0,0,1
Czechoslovakia v West Germany,5,7,1,3,2
Czechoslovakia v Yugoslavia,4,0,0,0,1
Denmark v England,3,2,0,5,1
Denmark v France,5,12,0,30,3
Denmark v Japan,4,5,0,6,1
Denmark v Netherlands,2,3,0,6,1
Denmark v Nigeria,5,2,0,5,1
Denmark v Peru,1,3,0,6,1
Denmark v Saudi Arabia,1,4,0,6,1
Denmark v Scotland,1,1,0,4,1
Denmark v Senegal,2,6,1,6,1
Denmark v South Africa,2,7,3,6,1
Denmark v Spain,6,4,0,4,1
Denmark v Uruguay,10,8,1,10,2
Denmark v West Germany,2,5,1,4,1
Dutch East Indies v Hungary,6,0,0,0,1
East Germany v Netherlands,2,0,0,2,1
East Germany v West Germany,1,3,0,3,1
Ecuador v England,1,6,0,5,1
Ecuador v France,0,1,1,6,1
Ecuador v Germany,3,2,0,6,1
Ecuador v Honduras,3,5,0,6,1
Ecuador v Italy,2,4,0,6,1
Ecuador v Mexico,3,6,0,6,1
Ecuador v Poland,2,3,0,6,1
Ecuador v Switzerland,3,2,0,4,1
Egypt v England,1,3,0,4,1
Egypt v Hungary,6,0,1,0,1
Egypt v Netherlands,2,2,0,4,1
Egypt v Republic of Ireland,0,2,0,4,1
Egypt v Russia,4,2,0,6,1
Egypt v Saudi Arabia,3,2,0,5,1
Egypt v Uruguay,1,2,0,6,1
El Salvador v Hungary,11,2,0,4,1
El Salvador v Mexico,4,4,0,4,1
El Salvador v Soviet Union,2,1,0,4,1
England v France,6,2,0,6,2
England v Germany,5,2,0,6,1
England v Hungary,3,0,0,0,1
England v Italy,6,1,0,10,2
England v Kuwait,1,2,0,1,1
England v Mexico,2,0,0,0,1
England v Morocco,0,4,1,4,1
England v Netherlands,0,0,0,3,1
England v Nigeria,0,0,0,4,1
England v Panama,7,4,0,6,1
England v Paraguay,4,12,0,16,2
England v Poland,3,1,0,4,1
England v Portugal,4,11,2,16,3
England v Republic of Ireland,2,1,0,3,1
England v Romania,4,4,0,8,2
England v Slovenia,1,4,0,4,1
England v Soviet Union,5,0,0,0,2
England v Spain,1,2,0,8,2
England v Sweden,8,15,0,28,3
England v Switzerland,2,0,0,0,1
England v Trinidad and Tobago,2,6,0,5,1
England v Tunisia,5,5,0,10,2
England v United States,3,6,0,5,2
England v Uruguay,9,4,0,12,3
England v West Germany,13,18,0,30,4
France v Germany,1,2,0,6,1
France v Honduras,3,8,1,6,1
France v Hungary,7,2,0,7,2
France v Italy,11,75,5,90,5
France v Kuwait,5,3,0,4,1
France v Mexico,14,24,0,20,4
France v Nigeria,2,1,0,4,1
France v Northern Ireland,9,4,0,6,2
France v Paraguay,11,10,0,12,2
France v Peru,1,4,0,6,1
France v Poland,5,3,0,3,1
France v Portugal,1,2,0,6,1
France v Saudi Arabia,4,4,2,6,1
France v Scotland,3,0,0,0,1
France v Senegal,1,2,0,2,1
France v South Africa,6,10,2,22,2
France v South Korea,2,4,0,6,1
France v Soviet Union,2,4,0,4,1
France v Spain,4,4,0,5,1
France v Switzerland,7,9,0,11,2
France v Togo,2,4,0,5,1
France v Uruguay,5,41,4,42,4
France v West Germany,17,7,0,10,3
France v Yugoslavia,6,0,0,0,2
Germany v Ghana,5,3,0,12,2
Germany v Iran,2,3,0,4,1
Germany v Italy,2,3,0,6,1
Germany v Mexico,4,20,0,24,2
Germany v Paraguay,1,5,1,6,1
Germany v Poland,1,8,1,6,1
Germany v Portugal,8,12,2,24,2
Germany v Republic of Ireland,2,0,0,6,1
Germany v Saudi Arabia,8,3,0,6,1
Germany v Serbia,1,10,1,6,1
Germany v South Korea,8,18,0,28,3
Germany v Spain,3,8,0,18,2
Germany v Sweden,8,33,6,36,3
Germany v Switzerland,8,0,2,0,2
Germany v United States,4,27,0,29,3
Germany v Uruguay,5,4,0,5,1
Germany v Yugoslavia,4,1,0,6,1
Ghana v Italy,2,5,0,6,1
Ghana v Portugal,3,4,0,6,1
Ghana v Serbia,1,7,1,6,1
Ghana v United States,9,19,0,30,3
Ghana v Uruguay,2,6,1,5,1
Greece v Ivory Coast,3,3,0,6,1
Greece v Japan,0,6,1,5,1
Greece v Nigeria,5,16,2,18,2
Greece v South Korea,2,1,0,6,1
Haiti v Italy,4,1,0,2,1
Haiti v Poland,7,1,0,4,1
Honduras v Northern Ireland,2,0,0,3,1
Honduras v Spain,4,4,0,18,2
Honduras v Switzerland,3,6,0,12,2
Honduras v Yugoslavia,1,2,1,3,1
Hungary v Italy,10,4,0,8,2
Hungary v Mexico,4,0,0,0,1
Hungary v Portugal,4,0,0,0,1
Hungary v South Korea,9,0,0,0,1
Hungary v Soviet Union,9,0,0,8,2
Hungary v Sweden,9,0,0,0,2
Hungary v Switzerland,2,0,0,0,1
Hungary v Uruguay,6,0,0,0,1
Hungary v Wales,5,0,1,0,2
Hungary v West Germany,16,0,0,0,2
Iceland v Nigeria,2,1,0,6,1
Iran v Mexico,4,3,0,5,1
Iran v Morocco,1,4,0,6,1
Iran v Netherlands,3,0,0,2,1
Iran v Nigeria,0,1,0,5,1
Iran v Peru,5,0,0,4,1
Iran v Portugal,4,13,0,12,2
Iran v Scotland,2,0,0,4,1
Iran v Spain,1,2,0,6,1
Iran v United States,3,3,0,6,1
Iran v Yugoslavia,1,2,0,4,1
Iraq v Mexico,1,2,0,4,1
Iraq v Paraguay,1,2,0,3,1
Israel v Italy,0,3,0,2,1
Israel v Sweden,2,3,0,2,1
Israel v Uruguay,2,0,0,3,1
Italy v Mexico,9,17,0,20,3
Italy v Netherlands,3,5,0,4,1
Italy v New Zealand,2,3,0,6,1
Italy v Nigeria,3,9,1,4,1
Italy v North Korea,1,0,0,0,1
Italy v Norway,5,27,3,33,3
Italy v Paraguay,4,4,0,12,2
Italy v Peru,2,2,0,3,1
Italy v Poland,5,17,0,15,3
Italy v Republic of Ireland,2,5,0,8,2
Italy v Slovakia,5,8,0,6,1
Italy v South Korea,8,32,2,18,2
Italy v Soviet Union,1,0,0,0,1
Italy v Spain,6,6,0,12,3
Italy v Sweden,6,1,0,3,2
Italy v Switzerland,11,0,0,0,3
Italy v Ukraine,3,3,0,6,1
Italy v United States,11,21,9,24,3
Italy v Uruguay,3,18,2,22,3
Italy v West Germany,11,33,0,33,4
Ivory Coast v Japan,3,4,0,6,1
Ivory Coast v Netherlands,3,7,0,6,1
Ivory Coast v North Korea,3,0,0,4,1
Ivory Coast v Portugal,0,3,0,6,1
Ivory Coast v Serbia and Montenegro,5,11,2,4,1
Jamaica v Japan,3,3,0,6,1
Japan v Netherlands,1,1,0,6,1
Japan v Paraguay,0,5,0,6,1
Japan v Poland,1,1,0,5,1
Japan v Russia,1,6,0,6,1
Japan v Senegal,4,5,0,6,1
Japan v Tunisia,2,2,0,6,1
Japan v Turkey,1,4,0,6,1
Mexico v Netherlands,7,18,2,22,2
Mexico v Norway,1,3,0,4,1
Mexico v Paraguay,2,5,0,4,1
Mexico v Poland,4,0,0,3,1
Mexico v Portugal,3,10,1,6,1
Mexico v Republic of Ireland,3,4,0,4,1
Mexico v South Africa,2,4,0,5,1
Mexico v South Korea,7,14,2,24,2
Mexico v Soviet Union,0,5,0,3,1
Mexico v Spain,1,0,0,0,1
Mexico v Sweden,6,5,0,6,2
Mexico v Switzerland,3,0,0,0,1
Mexico v Tunisia,4,0,0,3,1
Mexico v United States,2,10,1,6,1
Mexico v Uruguay,1,6,0,10,2
Mexico v Wales,2,0,0,0,1
Mexico v West Germany,6,24,4,12,2
Mexico v Yugoslavia,5,0,0,0,1
Morocco v Netherlands,3,7,0,4,1
Morocco v Norway,4,1,0,5,1
Morocco v Peru,3,0,0,4,1
Morocco v Poland,0,1,0,4,1
Morocco v Portugal,5,6,0,18,2
Morocco v Saudi Arabia,3,6,0,4,1
Morocco v Scotland,3,2,1,5,1
Morocco v Spain,4,6,0,6,1
Morocco v West Germany,4,2,0,5,2
Netherlands v Peru,0,1,0,3,1
Netherlands v Portugal,1,20,4,6,1
Netherlands v Republic of Ireland,4,2,0,8,2
Netherlands v Saudi Arabia,3,5,0,4,1
Netherlands v Scotland,5,1,0,2,1
Netherlands v Serbia and Montenegro,1,6,0,6,1
Netherlands v Slovakia,3,5,0,6,1
Netherlands v South Korea,5,2,0,6,1
Netherlands v Spain,7,19,1,12,2
Netherlands v Sweden,0,5,0,3,1
Netherlands v Switzerland,5,0,0,0,1
Netherlands v Uruguay,7,16,2,10,2
Netherlands v West Germany,10,19,4,9,3
Netherlands v Yugoslavia,3,3,0,2,1
New Zealand v Paraguay,0,3,0,4,1
New Zealand v Scotland,7,0,0,4,1
New Zealand v Slovakia,2,3,0,5,1
New Zealand v Soviet Union,3,0,0,2,1
Nigeria v Paraguay,4,2,0,5,1
Nigeria v South Korea,4,4,0,6,1
Nigeria v Spain,5,4,0,6,1
Nigeria v Sweden,3,3,0,4,1
North Korea v Portugal,15,8,0,12,2
North Korea v Soviet Union,3,1,0,0,1
Northern Ireland v Spain,4,5,1,8,2
Northern Ireland v West Germany,4,0,0,0,1
Northern Ireland v Yugoslavia,0,1,0,0,1
Norway v Republic of Ireland,0,5,0,4,1
Norway v Scotland,2,4,0,5,1
Panama v Tunisia,3,6,0,6,1
Paraguay v Scotland,5,0,0,0,1
Paraguay v Slovakia,2,4,0,5,1
Paraguay v Slovenia,4,7,2,6,1
Paraguay v South Africa,4,8,0,5,1
Paraguay v Spain,5,22,0,28,3
Paraguay v Sweden,5,16,0,12,2
Paraguay v Trinidad and Tobago,2,4,0,6,1
Paraguay v United States,3,0,0,0,1
Paraguay v Yugoslavia,6,0,0,0,1
Peru v Poland,7,5,0,8,2
Peru v Romania,4,0,1,0,1
Peru v Scotland,4,1,0,4,1
Peru v Uruguay,1,0,0,0,1
Peru v West Germany,4,0,0,4,1
Poland v Portugal,5,7,0,10,2
Poland v Senegal,3,3,0,6,1
Poland v South Korea,2,5,0,6,1
Poland v Soviet Union,0,5,0,3,1
Poland v Sweden,1,2,0,3,1
Poland v Tunisia,1,0,0,2,1
Poland v United States,4,5,0,6,1
Poland v West Germany,1,0,0,4,2
Poland v Yugoslavia,3,0,0,4,1
Portugal v South Korea,1,8,2,4,1
Portugal v Soviet Union,3,0,0,0,1
Portugal v Spain,7,4,1,12,2
Portugal v United States,9,8,0,24,2
Portugal v Uruguay,3,1,0,6,1
Republic of Ireland v Romania,0,4,0,4,1
Republic of Ireland v Saudi Arabia,3,2,0,6,1
Republic of Ireland v Spain,2,3,0,6,1
Romania v Soviet Union,2,2,0,4,1
Romania v Sweden,4,7,1,3,1
Romania v Switzerland,5,3,1,4,1
Romania v Tunisia,2,2,0,6,1
Romania v United States,1,4,0,4,1
Romania v Uruguay,4,0,0,0,1
Russia v Saudi Arabia,5,2,0,6,1
Russia v South Korea,2,4,0,6,1
Russia v Spain,2,3,0,8,1
Russia v Sweden,4,7,1,4,1
Russia v Tunisia,2,4,0,6,1
Russia v Uruguay,3,5,1,6,1
Saudi Arabia v South Africa,4,3,0,5,1
Saudi Arabia v Spain,1,5,0,6,1
Saudi Arabia v Sweden,4,4,0,4,1
Saudi Arabia v Tunisia,4,4,0,6,1
Saudi Arabia v Ukraine,4,6,0,6,1
Saudi Arabia v Uruguay,1,0,0,6,1
Scotland v Soviet Union,4,1,0,3,1
Scotland v Sweden,3,2,0,4,1
Scotland v Uruguay,7,5,1,4,2
Scotland v West Germany,3,3,0,4,1
Scotland v Yugoslavia,4,5,0,2,2
Scotland v Zaire,2,2,0,3,1
Senegal v Sweden,3,2,0,4,1
Senegal v Turkey,1,4,0,2,1
Senegal v Uruguay,6,12,0,6,1
Serbia v Switzerland,3,5,0,5,1
Slovenia v South Africa,1,6,0,6,1
Slovenia v Spain,4,3,0,6,1
Slovenia v United States,4,5,0,6,1
South Africa v Spain,5,4,0,6,1
South Africa v Uruguay,3,2,1,5,1
South Korea v Spain,8,17,2,24,3
South Korea v Sweden,1,3,0,6,1
South Korea v Switzerland,2,10,0,5,1
South Korea v Togo,3,7,1,6,1
South Korea v Turkey,12,3,0,6,2
South Korea v United States,2,3,0,5,1
South Korea v Uruguay,4,10,1,9,2
Soviet Union v Sweden,2,0,0,0,1
Soviet Union v Uruguay,4,12,0,8,2
Soviet Union v West Germany,3,1,1,0,1
Soviet Union v Yugoslavia,2,0,0,0,1
Spain v Sweden,5,1,0,3,2
Spain v Switzerland,7,36,0,30,3
Spain v Tunisia,4,8,0,6,1
Spain v Ukraine,4,2,1,6,1
Spain v United States,4,0,0,0,1
Spain v Uruguay,4,8,0,8,2
Spain v West Germany,6,10,0,6,2
Spain v Yugoslavia,6,18,0,16,2
Sweden v Switzerland,1,3,1,5,1
Sweden v Trinidad and Tobago,0,5,1,5,1
Sweden v Uruguay,9,2,0,14,3
Sweden v Wales,0,0,0,0,1
Sweden v West Germany,10,1,1,3,2
Sweden v Yugoslavia,3,2,0,2,1
Switzerland v Togo,2,4,0,6,1
Switzerland v Ukraine,0,1,0,6,1
Switzerland v United States,2,3,0,4,1
Switzerland v West Germany,8,0,0,0,2
Switzerland v Yugoslavia,3,0,0,0,1
Tunisia v Ukraine,1,9,1,6,1
Tunisia v West Germany,0,2,0,1,1
Turkey v West Germany,14,0,0,0,2
United Arab Emirates v West Germany,6,3,0,4,1
United Arab Emirates v Yugoslavia,5,6,1,4,1
United States v Yugoslavia,1,3,0,6,1
Uruguay v West Germany,7,10,4,12,3
Uruguay v Yugoslavia,11,0,2,0,2
West Germany v Yugoslavia,11,11,0,20,5
Yugoslavia v Zaire,9,1,1,2,1
