manager_id,n_appearances,n_wc,win,lose,draw,goals_difference,n_wc_wins,C-1,C-2,C-3,Segm K-means PCA,Segment
M-010,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,-2,0.0,-0.26533923329338044,0.6917753380412468,-0.43020598717755004,4,4
M-026,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,-3,0.0,-0.34877589606999676,0.7055026616663178,-0.41844601598203707,4,4
M-027,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,-0.0984659077401478,0.6643206907911048,-0.4537259295685761,4,4
M-028,5.0,1,0.4,0.2,0.4,3,0.0,1.184215419688888,1.0436295139460665,-0.8118509755532545,4,4
M-034,5.0,1,0.4,0.4,0.2,-2,0.0,0.36802527265875257,0.05229010920814589,-0.6881267641202732,4,4
M-039,4.0,1,0.25,0.25,0.5,0,0.0,0.26335907141535064,1.5708227080758754,-0.5030425072013517,4,4
M-045,6.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,0.8902746164847076,0.7561596747140146,-0.7723409714067299,4,4
M-047,6.0,1,0.3333333333333333,0.5,0.16666666666666666,-5,0.0,0.14058560831241454,-0.05851705954669341,-0.6594374858829846,4,4
M-048,5.0,1,0.6,0.0,0.4,5,0.0,2.071714880942916,1.0339932580773534,-1.1017518760069747,4,4
M-049,6.0,1,0.16666666666666666,0.5,0.3333333333333333,-3,0.0,0.039442848404195555,0.7824929861047035,-0.5150769261012791,4,4
M-051,4.0,1,0.5,0.25,0.25,2,0.0,0.8322565251607609,0.24067102147342526,-0.7783832028514749,4,4
M-052,4.0,1,0.25,0.25,0.5,1,0.0,0.346795734191967,1.5570953844508046,-0.5148024783968647,4,4
M-057,5.0,1,0.4,0.2,0.4,4,0.0,1.2676520824655044,1.0299021903209955,-0.8236109467487674,4,4
M-058,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0.0,-0.015029244963531472,0.6505933671660338,-0.4654859007640891,4,4
M-059,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,-0.0984659077401478,0.6643206907911048,-0.4537259295685761,4,4
M-066,7.0,1,0.5714285714285714,0.14285714285714285,0.2857142857142857,5,0.0,2.399924734956295,0.4869731783829315,-1.2390078496298829,4,4
