match_name,total_teams_score,yellow_card,red_card,substitutions,n_same_squad_match,0
Argentina v Mexico,16,21,0,33,3,2
Belgium v England,12,12,0,30,4,2
England v West Germany,13,18,0,30,4,2
France v Mexico,14,24,0,20,4,2
West Germany v Yugoslavia,11,11,0,20,5,2
