match_name,total_teams_score,yellow_card,red_card,substitutions,n_same_squad_match,0
Chile v East Germany,2,3,0,4,1,0
Chile v England,2,0,0,0,1,0
Chile v France,1,0,0,0,1,0
Chile v Honduras,1,3,0,6,1,0
Chile v Mexico,3,0,0,0,1,0
Chile v Netherlands,2,2,0,6,1,0
Chile v North Korea,2,0,0,0,1,0
Chile v Soviet Union,6,0,0,0,2,0
Chile v United States,7,0,0,0,1,0
Chile v Yugoslavia,1,0,0,0,1,0
China v Costa Rica,2,7,0,6,1,0
Colombia v England,4,26,0,28,2,0
Colombia v Greece,3,3,0,6,1,0
Colombia v Ivory Coast,3,2,0,6,1,0
Colombia v Poland,3,2,0,6,1,0
Colombia v Romania,5,8,0,7,2,0
Colombia v Senegal,1,2,0,6,1,0
Colombia v Soviet Union,8,0,0,0,1,0
Colombia v Switzerland,2,5,0,4,1,0
Colombia v Tunisia,1,3,0,6,1,0
Colombia v United Arab Emirates,2,3,0,3,1,0
Colombia v United States,3,2,0,4,1,0
Colombia v Uruguay,5,2,0,6,2,0
Colombia v West Germany,2,4,0,2,1,0
Colombia v Yugoslavia,6,2,0,8,2,0
Costa Rica v Czechoslovakia,5,5,0,2,1,0
Costa Rica v Ecuador,3,5,0,6,1,0
Costa Rica v England,0,3,0,6,1,0
Costa Rica v Germany,6,1,0,6,1,0
Costa Rica v Italy,1,2,0,6,1,0
Costa Rica v Netherlands,0,6,0,6,1,0
Costa Rica v Poland,3,10,0,6,1,0
Costa Rica v Scotland,1,0,0,3,1,0
Costa Rica v Serbia,1,4,0,6,1,0
Costa Rica v Sweden,3,4,0,4,1,0
Costa Rica v Switzerland,4,6,0,6,1,0
Costa Rica v Turkey,2,5,0,6,1,0
Croatia v Denmark,2,1,0,8,1,0
Croatia v Ecuador,1,3,0,5,1,0
Croatia v England,3,3,0,8,1,0
Croatia v Iceland,3,5,0,6,1,0
Croatia v Italy,3,2,0,5,1,0
Croatia v Jamaica,4,3,0,4,1,0
Croatia v Netherlands,3,6,0,4,1,0
Croatia v Nigeria,2,3,0,6,1,0
Croatia v Romania,1,5,0,5,1,0
Croatia v Russia,4,5,0,8,1,0
Cuba v Romania,9,0,0,0,2,0
Cuba v Sweden,8,0,0,0,1,0
Czech Republic v United States,3,6,0,6,1,0
Czechoslovakia v England,3,4,0,12,2,0
Czechoslovakia v Germany,4,0,0,0,1,0
Czechoslovakia v Hungary,1,0,0,0,1,0
Czechoslovakia v Italy,5,8,0,8,2,0
Czechoslovakia v Kuwait,2,0,0,3,1,0
Czechoslovakia v Mexico,4,0,0,0,1,0
Czechoslovakia v Netherlands,3,0,0,0,1,0
Czechoslovakia v Romania,6,2,0,4,2,0
Czechoslovakia v Spain,1,0,0,0,1,0
Czechoslovakia v Switzerland,5,0,0,0,1,0
Czechoslovakia v Uruguay,2,0,0,0,1,0
Czechoslovakia v Yugoslavia,4,0,0,0,1,0
Denmark v England,3,2,0,5,1,0
Denmark v France,5,12,0,30,3,0
Denmark v Japan,4,5,0,6,1,0
Denmark v Netherlands,2,3,0,6,1,0
Denmark v Nigeria,5,2,0,5,1,0
Denmark v Peru,1,3,0,6,1,0
Denmark v Saudi Arabia,1,4,0,6,1,0
Denmark v Scotland,1,1,0,4,1,0
Denmark v Spain,6,4,0,4,1,0
Dutch East Indies v Hungary,6,0,0,0,1,0
East Germany v Netherlands,2,0,0,2,1,0
East Germany v West Germany,1,3,0,3,1,0
Ecuador v England,1,6,0,5,1,0
Ecuador v Germany,3,2,0,6,1,0
Ecuador v Honduras,3,5,0,6,1,0
Ecuador v Italy,2,4,0,6,1,0
Ecuador v Mexico,3,6,0,6,1,0
Ecuador v Poland,2,3,0,6,1,0
Ecuador v Switzerland,3,2,0,4,1,0
Egypt v England,1,3,0,4,1,0
Egypt v Netherlands,2,2,0,4,1,0
Egypt v Republic of Ireland,0,2,0,4,1,0
Egypt v Russia,4,2,0,6,1,0
Egypt v Saudi Arabia,3,2,0,5,1,0
Egypt v Uruguay,1,2,0,6,1,0
El Salvador v Hungary,11,2,0,4,1,0
El Salvador v Mexico,4,4,0,4,1,0
El Salvador v Soviet Union,2,1,0,4,1,0
England v France,6,2,0,6,2,0
England v Germany,5,2,0,6,1,0
England v Hungary,3,0,0,0,1,0
England v Italy,6,1,0,10,2,0
England v Kuwait,1,2,0,1,1,0
England v Mexico,2,0,0,0,1,0
England v Netherlands,0,0,0,3,1,0
England v Nigeria,0,0,0,4,1,0
England v Panama,7,4,0,6,1,0
England v Paraguay,4,12,0,16,2,0
England v Poland,3,1,0,4,1,0
England v Republic of Ireland,2,1,0,3,1,0
England v Romania,4,4,0,8,2,0
England v Slovenia,1,4,0,4,1,0
England v Soviet Union,5,0,0,0,2,0
England v Spain,1,2,0,8,2,0
England v Switzerland,2,0,0,0,1,0
England v Trinidad and Tobago,2,6,0,5,1,0
England v Tunisia,5,5,0,10,2,0
England v United States,3,6,0,5,2,0
England v Uruguay,9,4,0,12,3,0
France v Germany,1,2,0,6,1,0
France v Hungary,7,2,0,7,2,0
France v Kuwait,5,3,0,4,1,0
France v Nigeria,2,1,0,4,1,0
France v Northern Ireland,9,4,0,6,2,0
France v Paraguay,11,10,0,12,2,0
France v Peru,1,4,0,6,1,0
France v Poland,5,3,0,3,1,0
France v Portugal,1,2,0,6,1,0
France v Scotland,3,0,0,0,1,0
France v Senegal,1,2,0,2,1,0
France v South Korea,2,4,0,6,1,0
France v Soviet Union,2,4,0,4,1,0
France v Spain,4,4,0,5,1,0
France v Switzerland,7,9,0,11,2,0
France v Togo,2,4,0,5,1,0
France v Yugoslavia,6,0,0,0,2,0
Germany v Ghana,5,3,0,12,2,0
Germany v Iran,2,3,0,4,1,0
Germany v Italy,2,3,0,6,1,0
Germany v Mexico,4,20,0,24,2,0
Germany v Republic of Ireland,2,0,0,6,1,0
Germany v Saudi Arabia,8,3,0,6,1,0
Germany v Spain,3,8,0,18,2,0
Germany v United States,4,27,0,29,3,0
Germany v Uruguay,5,4,0,5,1,0
Germany v Yugoslavia,4,1,0,6,1,0
Ghana v Italy,2,5,0,6,1,0
Ghana v Portugal,3,4,0,6,1,0
Greece v Ivory Coast,3,3,0,6,1,0
Greece v South Korea,2,1,0,6,1,0
Haiti v Italy,4,1,0,2,1,0
Haiti v Poland,7,1,0,4,1,0
Honduras v Northern Ireland,2,0,0,3,1,0
Honduras v Spain,4,4,0,18,2,0
Honduras v Switzerland,3,6,0,12,2,0
Hungary v Italy,10,4,0,8,2,0
Hungary v Mexico,4,0,0,0,1,0
Hungary v Portugal,4,0,0,0,1,0
Hungary v South Korea,9,0,0,0,1,0
Hungary v Soviet Union,9,0,0,8,2,0
Hungary v Sweden,9,0,0,0,2,0
Hungary v Switzerland,2,0,0,0,1,0
Hungary v Uruguay,6,0,0,0,1,0
Iceland v Nigeria,2,1,0,6,1,0
Iran v Mexico,4,3,0,5,1,0
Iran v Morocco,1,4,0,6,1,0
Iran v Netherlands,3,0,0,2,1,0
Iran v Nigeria,0,1,0,5,1,0
Iran v Peru,5,0,0,4,1,0
Iran v Portugal,4,13,0,12,2,0
Iran v Scotland,2,0,0,4,1,0
Iran v Spain,1,2,0,6,1,0
Iran v United States,3,3,0,6,1,0
Iran v Yugoslavia,1,2,0,4,1,0
Iraq v Mexico,1,2,0,4,1,0
Iraq v Paraguay,1,2,0,3,1,0
Israel v Italy,0,3,0,2,1,0
Israel v Sweden,2,3,0,2,1,0
Israel v Uruguay,2,0,0,3,1,0
Italy v Netherlands,3,5,0,4,1,0
Italy v New Zealand,2,3,0,6,1,0
Italy v North Korea,1,0,0,0,1,0
Italy v Paraguay,4,4,0,12,2,0
Italy v Peru,2,2,0,3,1,0
Italy v Poland,5,17,0,15,3,0
Italy v Republic of Ireland,2,5,0,8,2,0
Italy v Slovakia,5,8,0,6,1,0
Italy v Soviet Union,1,0,0,0,1,0
Italy v Spain,6,6,0,12,3,0
Italy v Sweden,6,1,0,3,2,0
Italy v Switzerland,11,0,0,0,3,0
Italy v Ukraine,3,3,0,6,1,0
Ivory Coast v Japan,3,4,0,6,1,0
Ivory Coast v Netherlands,3,7,0,6,1,0
Ivory Coast v North Korea,3,0,0,4,1,0
Ivory Coast v Portugal,0,3,0,6,1,0
Jamaica v Japan,3,3,0,6,1,0
Japan v Netherlands,1,1,0,6,1,0
Japan v Paraguay,0,5,0,6,1,0
Japan v Poland,1,1,0,5,1,0
Japan v Russia,1,6,0,6,1,0
Japan v Senegal,4,5,0,6,1,0
Japan v Tunisia,2,2,0,6,1,0
Japan v Turkey,1,4,0,6,1,0
Mexico v Norway,1,3,0,4,1,0
Mexico v Paraguay,2,5,0,4,1,0
Mexico v Poland,4,0,0,3,1,0
Mexico v Republic of Ireland,3,4,0,4,1,0
Mexico v South Africa,2,4,0,5,1,0
Mexico v Soviet Union,0,5,0,3,1,0
Mexico v Spain,1,0,0,0,1,0
Mexico v Sweden,6,5,0,6,2,0
Mexico v Switzerland,3,0,0,0,1,0
Mexico v Tunisia,4,0,0,3,1,0
Mexico v Uruguay,1,6,0,10,2,0
Mexico v Wales,2,0,0,0,1,0
Mexico v Yugoslavia,5,0,0,0,1,0
Morocco v Netherlands,3,7,0,4,1,0
Morocco v Norway,4,1,0,5,1,0
Morocco v Peru,3,0,0,4,1,0
Morocco v Poland,0,1,0,4,1,0
Morocco v Portugal,5,6,0,18,2,0
Morocco v Saudi Arabia,3,6,0,4,1,0
Morocco v Spain,4,6,0,6,1,0
Morocco v West Germany,4,2,0,5,2,0
Netherlands v Peru,0,1,0,3,1,0
Netherlands v Republic of Ireland,4,2,0,8,2,0
Netherlands v Saudi Arabia,3,5,0,4,1,0
Netherlands v Scotland,5,1,0,2,1,0
Netherlands v Serbia and Montenegro,1,6,0,6,1,0
Netherlands v Slovakia,3,5,0,6,1,0
Netherlands v South Korea,5,2,0,6,1,0
Netherlands v Sweden,0,5,0,3,1,0
Netherlands v Switzerland,5,0,0,0,1,0
Netherlands v Yugoslavia,3,3,0,2,1,0
New Zealand v Paraguay,0,3,0,4,1,0
New Zealand v Scotland,7,0,0,4,1,0
New Zealand v Slovakia,2,3,0,5,1,0
New Zealand v Soviet Union,3,0,0,2,1,0
Nigeria v Paraguay,4,2,0,5,1,0
Nigeria v South Korea,4,4,0,6,1,0
Nigeria v Spain,5,4,0,6,1,0
Nigeria v Sweden,3,3,0,4,1,0
North Korea v Soviet Union,3,1,0,0,1,0
Northern Ireland v West Germany,4,0,0,0,1,0
Northern Ireland v Yugoslavia,0,1,0,0,1,0
Norway v Republic of Ireland,0,5,0,4,1,0
Norway v Scotland,2,4,0,5,1,0
Panama v Tunisia,3,6,0,6,1,0
Paraguay v Scotland,5,0,0,0,1,0
Paraguay v Slovakia,2,4,0,5,1,0
Paraguay v South Africa,4,8,0,5,1,0
Paraguay v Spain,5,22,0,28,3,0
Paraguay v Sweden,5,16,0,12,2,0
Paraguay v Trinidad and Tobago,2,4,0,6,1,0
Paraguay v United States,3,0,0,0,1,0
Paraguay v Yugoslavia,6,0,0,0,1,0
Peru v Poland,7,5,0,8,2,0
Peru v Scotland,4,1,0,4,1,0
Peru v Uruguay,1,0,0,0,1,0
Peru v West Germany,4,0,0,4,1,0
Poland v Portugal,5,7,0,10,2,0
Poland v Senegal,3,3,0,6,1,0
Poland v South Korea,2,5,0,6,1,0
Poland v Soviet Union,0,5,0,3,1,0
Poland v Sweden,1,2,0,3,1,0
Poland v Tunisia,1,0,0,2,1,0
Poland v United States,4,5,0,6,1,0
Poland v West Germany,1,0,0,4,2,0
Poland v Yugoslavia,3,0,0,4,1,0
Portugal v Soviet Union,3,0,0,0,1,0
Portugal v United States,9,8,0,24,2,0
Portugal v Uruguay,3,1,0,6,1,0
Republic of Ireland v Romania,0,4,0,4,1,0
Republic of Ireland v Saudi Arabia,3,2,0,6,1,0
Republic of Ireland v Spain,2,3,0,6,1,0
Romania v Soviet Union,2,2,0,4,1,0
Romania v Tunisia,2,2,0,6,1,0
Romania v United States,1,4,0,4,1,0
Romania v Uruguay,4,0,0,0,1,0
Russia v Saudi Arabia,5,2,0,6,1,0
Russia v South Korea,2,4,0,6,1,0
Russia v Spain,2,3,0,8,1,0
Russia v Tunisia,2,4,0,6,1,0
Saudi Arabia v South Africa,4,3,0,5,1,0
Saudi Arabia v Spain,1,5,0,6,1,0
Saudi Arabia v Sweden,4,4,0,4,1,0
Saudi Arabia v Tunisia,4,4,0,6,1,0
Saudi Arabia v Ukraine,4,6,0,6,1,0
Saudi Arabia v Uruguay,1,0,0,6,1,0
Scotland v Soviet Union,4,1,0,3,1,0
Scotland v Sweden,3,2,0,4,1,0
