match_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,home_team_score_penalties,away_team_score_penalties,home_team_win,away_team_win,yellow_card,red_card,substitutions
Brazil v England,T-09,Brazil,BRA,T-27,England,ENG,1–0,1,0,1,-1,0,0,1,0,1,0,3
Bulgaria v West Germany,T-10,Bulgaria,BGR,T-82,West Germany,DEU,2–5,2,5,-3,3,0,0,0,1,0,0,4
El Salvador v Soviet Union,T-26,El Salvador,SLV,T-69,Soviet Union,SUN,0–2,0,2,-2,2,0,0,0,1,1,0,4
Sweden v Uruguay,T-71,Sweden,SWE,T-80,Uruguay,URY,1-0,1,0,1,-1,0,0,1,0,1,0,7
Brazil v Romania,T-09,Brazil,BRA,T-58,Romania,ROU,3–2,3,2,1,-1,0,0,1,0,2,0,4
Peru v West Germany,T-54,Peru,PER,T-82,West Germany,DEU,1–3,1,3,-2,2,0,0,0,1,0,0,4
Belgium v Mexico,T-06,Belgium,BEL,T-44,Mexico,MEX,0–1,0,1,-1,1,0,0,0,1,5,0,2
Israel v Italy,T-38,Israel,ISR,T-39,Italy,ITA,0–0,0,0,0,0,0,0,0,0,3,0,2
Czechoslovakia v England,T-20,Czechoslovakia,CSK,T-27,England,ENG,0–1,0,1,-1,1,0,0,0,1,2,0,6
Bulgaria v Morocco,T-10,Bulgaria,BGR,T-45,Morocco,MAR,1–1,1,1,0,0,0,0,0,0,0,0,4
Brazil v Peru,T-09,Brazil,BRA,T-54,Peru,PER,4–2,4,2,2,-2,0,0,1,0,0,0,8
Italy v Mexico,T-39,Italy,ITA,T-44,Mexico,MEX,4–1,4,1,3,-3,0,0,1,0,5,0,7
Soviet Union v Uruguay,T-69,Soviet Union,SUN,T-80,Uruguay,URY,0–1,0,1,-1,1,0,0,0,1,6,0,4
England v West Germany,T-27,England,ENG,T-82,West Germany,DEU,2–3,2,3,-1,1,0,0,0,1,6,0,10
Brazil v Uruguay,T-09,Brazil,BRA,T-80,Uruguay,URY,3–1,3,1,2,-2,0,0,1,0,4,0,1
Italy v West Germany,T-39,Italy,ITA,T-82,West Germany,DEU,4–3,4,3,1,-1,0,0,1,0,11,0,11
Uruguay v West Germany,T-80,Uruguay,URY,T-82,West Germany,DEU,0–1,0,1,-1,1,0,0,0,1,4,2,4
Brazil v Italy,T-09,Brazil,BRA,T-39,Italy,ITA,4–1,4,1,3,-3,0,0,1,0,9,0,9
Brazil v Yugoslavia,T-09,Brazil,BRA,T-83,Yugoslavia,YUG,0–0,0,0,0,0,0,0,0,0,2,0,0
Chile v West Germany,T-13,Chile,CHL,T-82,West Germany,DEU,0–1,0,1,-1,1,0,0,0,1,5,1,7
Australia v East Germany,T-04,Australia,AUS,T-23,East Germany,DDR,0–2,0,2,-2,2,0,0,0,1,3,0,1
Scotland v Zaire,T-61,Scotland,SCO,T-84,Zaire,COD,2–0,2,0,2,-2,0,0,1,0,2,0,3
Bulgaria v Sweden,T-10,Bulgaria,BGR,T-71,Sweden,SWE,0–0,0,0,0,0,0,0,0,0,2,0,7
Netherlands v Uruguay,T-46,Netherlands,NLD,T-80,Uruguay,URY,2–0,2,0,2,-2,0,0,1,0,8,1,5
Haiti v Italy,T-32,Haiti,HTI,T-39,Italy,ITA,1–3,1,3,-2,2,0,0,0,1,1,0,2
Argentina v Poland,T-03,Argentina,ARG,T-55,Poland,POL,2–3,2,3,-1,1,0,0,0,1,2,0,4
Australia v West Germany,T-04,Australia,AUS,T-82,West Germany,DEU,0–3,0,3,-3,3,0,0,0,1,0,0,4
Chile v East Germany,T-13,Chile,CHL,T-23,East Germany,DDR,1–1,1,1,0,0,0,0,0,0,3,0,4
Brazil v Scotland,T-09,Brazil,BRA,T-61,Scotland,SCO,0–0,0,0,0,0,0,0,0,0,3,0,1
Yugoslavia v Zaire,T-83,Yugoslavia,YUG,T-84,Zaire,COD,9–0,9,0,9,-9,0,0,1,0,1,1,2
Bulgaria v Uruguay,T-10,Bulgaria,BGR,T-80,Uruguay,URY,1–1,1,1,0,0,0,0,0,0,2,0,3
Netherlands v Sweden,T-46,Netherlands,NLD,T-71,Sweden,SWE,0–0,0,0,0,0,0,0,0,0,5,0,3
Argentina v Italy,T-03,Argentina,ARG,T-39,Italy,ITA,1–1,1,1,0,0,0,0,0,0,11,1,11
Haiti v Poland,T-32,Haiti,HTI,T-55,Poland,POL,0–7,0,7,-7,7,0,0,0,1,1,0,4
Australia v Chile,T-04,Australia,AUS,T-13,Chile,CHL,0–0,0,0,0,0,0,0,0,0,1,1,4
Scotland v Yugoslavia,T-61,Scotland,SCO,T-83,Yugoslavia,YUG,1–1,1,1,0,0,0,0,0,0,5,0,2
Brazil v Zaire,T-09,Brazil,BRA,T-84,Zaire,COD,3–0,3,0,3,-3,0,0,1,0,2,0,4
East Germany v West Germany,T-23,East Germany,DDR,T-82,West Germany,DEU,1–0,1,0,1,-1,0,0,1,0,3,0,3
Bulgaria v Netherlands,T-10,Bulgaria,BGR,T-46,Netherlands,NLD,1–4,1,4,-3,3,0,0,0,1,5,0,4
Sweden v Uruguay,T-71,Sweden,SWE,T-80,Uruguay,URY,3–0,3,0,3,-3,0,0,1,0,1,0,7
Argentina v Haiti,T-03,Argentina,ARG,T-32,Haiti,HTI,4–1,4,1,3,-3,0,0,1,0,3,0,4
Italy v Poland,T-39,Italy,ITA,T-55,Poland,POL,1–2,1,2,-1,1,0,0,0,1,7,0,7
West Germany v Yugoslavia,T-82,West Germany,DEU,T-83,Yugoslavia,YUG,2–0,2,0,2,-2,0,0,1,0,4,0,4
Brazil v East Germany,T-09,Brazil,BRA,T-23,East Germany,DDR,1–0,1,0,1,-1,0,0,1,0,5,0,2
Argentina v Netherlands,T-03,Argentina,ARG,T-46,Netherlands,NLD,0–4,0,4,-4,4,0,0,0,1,18,2,18
Poland v Sweden,T-55,Poland,POL,T-71,Sweden,SWE,1–0,1,0,1,-1,0,0,1,0,2,0,3
Argentina v Brazil,T-03,Argentina,ARG,T-09,Brazil,BRA,1–2,1,2,-1,1,0,0,0,1,4,1,10
East Germany v Netherlands,T-23,East Germany,DDR,T-46,Netherlands,NLD,0–2,0,2,-2,2,0,0,0,1,0,0,2
Poland v Yugoslavia,T-55,Poland,POL,T-83,Yugoslavia,YUG,2–1,2,1,1,-1,0,0,1,0,0,0,4
Sweden v West Germany,T-71,Sweden,SWE,T-82,West Germany,DEU,2–4,2,4,-2,2,0,0,0,1,1,0,3
Poland v West Germany,T-55,Poland,POL,T-82,West Germany,DEU,0–1,0,1,-1,1,0,0,0,1,0,0,2
Argentina v East Germany,T-03,Argentina,ARG,T-23,East Germany,DDR,1–1,1,1,0,0,0,0,0,0,2,0,2
Brazil v Netherlands,T-09,Brazil,BRA,T-46,Netherlands,NLD,0–2,0,2,-2,2,0,0,0,1,13,2,10
Sweden v Yugoslavia,T-71,Sweden,SWE,T-83,Yugoslavia,YUG,2–1,2,1,1,-1,0,0,1,0,2,0,2
Brazil v Poland,T-09,Brazil,BRA,T-55,Poland,POL,0–1,0,1,-1,1,0,0,0,1,7,0,10
Netherlands v West Germany,T-46,Netherlands,NLD,T-82,West Germany,DEU,1–2,1,2,-1,1,0,0,0,1,7,1,3
Poland v West Germany,T-55,Poland,POL,T-82,West Germany,DEU,0–0,0,0,0,0,0,0,0,0,0,0,2
France v Italy,T-28,France,FRA,T-39,Italy,ITA,1–2,1,2,-1,1,0,0,0,1,15,1,18
Mexico v Tunisia,T-44,Mexico,MEX,T-75,Tunisia,TUN,1–3,1,3,-2,2,0,0,0,1,0,0,3
Argentina v Hungary,T-03,Argentina,ARG,T-34,Hungary,HUN,2–1,2,1,1,-1,0,0,1,0,3,2,7
Austria v Spain,T-05,Austria,AUT,T-70,Spain,ESP,2–1,2,1,1,-1,0,0,1,0,0,0,4
Brazil v Sweden,T-09,Brazil,BRA,T-71,Sweden,SWE,1–1,1,1,0,0,0,0,0,0,8,0,10
Iran v Netherlands,T-36,Iran,IRN,T-46,Netherlands,NLD,0–3,0,3,-3,3,0,0,0,1,0,0,2
Peru v Scotland,T-54,Peru,PER,T-61,Scotland,SCO,3–1,3,1,2,-2,0,0,1,0,1,0,4
Hungary v Italy,T-34,Hungary,HUN,T-39,Italy,ITA,1–3,1,3,-2,2,0,0,0,1,2,0,4
Poland v Tunisia,T-55,Poland,POL,T-75,Tunisia,TUN,1–0,1,0,1,-1,0,0,1,0,0,0,2
Mexico v West Germany,T-44,Mexico,MEX,T-82,West Germany,DEU,0–6,0,6,-6,6,0,0,0,1,12,2,6
Argentina v France,T-03,Argentina,ARG,T-28,France,FRA,2–1,2,1,1,-1,0,0,1,0,1,0,3
Austria v Sweden,T-05,Austria,AUT,T-71,Sweden,SWE,1–0,1,0,1,-1,0,0,1,0,0,0,3
Brazil v Spain,T-09,Brazil,BRA,T-70,Spain,ESP,0–0,0,0,0,0,0,0,0,0,1,0,4
Netherlands v Peru,T-46,Netherlands,NLD,T-54,Peru,PER,0–0,0,0,0,0,0,0,0,0,1,0,3
Iran v Scotland,T-36,Iran,IRN,T-61,Scotland,SCO,1–1,1,1,0,0,0,0,0,0,0,0,4
France v Hungary,T-28,France,FRA,T-34,Hungary,HUN,3–1,3,1,2,-2,0,0,1,0,0,0,3
Mexico v Poland,T-44,Mexico,MEX,T-55,Poland,POL,1–3,1,3,-2,2,0,0,0,1,0,0,3
Tunisia v West Germany,T-75,Tunisia,TUN,T-82,West Germany,DEU,0–0,0,0,0,0,0,0,0,0,2,0,1
Argentina v Italy,T-03,Argentina,ARG,T-39,Italy,ITA,0–1,0,1,-1,1,0,0,0,1,11,1,11
Austria v Brazil,T-05,Austria,AUT,T-09,Brazil,BRA,0–1,0,1,-1,1,0,0,0,1,0,0,4
Spain v Sweden,T-70,Spain,ESP,T-71,Sweden,SWE,1–0,1,0,1,-1,0,0,1,0,1,0,3
Iran v Peru,T-36,Iran,IRN,T-54,Peru,PER,1–4,1,4,-3,3,0,0,0,1,0,0,4
Netherlands v Scotland,T-46,Netherlands,NLD,T-61,Scotland,SCO,2–3,2,3,-1,1,0,0,0,1,1,0,2
Austria v Netherlands,T-05,Austria,AUT,T-46,Netherlands,NLD,1–5,1,5,-4,4,0,0,0,1,0,0,2
Italy v West Germany,T-39,Italy,ITA,T-82,West Germany,DEU,0–0,0,0,0,0,0,0,0,0,11,0,11
Brazil v Peru,T-09,Brazil,BRA,T-54,Peru,PER,3–0,3,0,3,-3,0,0,1,0,0,0,8
Argentina v Poland,T-03,Argentina,ARG,T-55,Poland,POL,2–0,2,0,2,-2,0,0,1,0,2,0,3
Peru v Poland,T-54,Peru,PER,T-55,Poland,POL,0–1,0,1,-1,1,0,0,0,1,4,0,4
Austria v Italy,T-05,Austria,AUT,T-39,Italy,ITA,0–1,0,1,-1,1,0,0,0,1,6,0,13
Netherlands v West Germany,T-46,Netherlands,NLD,T-82,West Germany,DEU,2–2,2,2,0,0,0,0,0,0,7,1,3
Argentina v Brazil,T-03,Argentina,ARG,T-09,Brazil,BRA,0–0,0,0,0,0,0,0,0,0,4,1,10
Austria v West Germany,T-05,Austria,AUT,T-82,West Germany,DEU,3–2,3,2,1,-1,0,0,1,0,3,0,3
Italy v Netherlands,T-39,Italy,ITA,T-46,Netherlands,NLD,1–2,1,2,-1,1,0,0,0,1,5,0,4
Brazil v Poland,T-09,Brazil,BRA,T-55,Poland,POL,3–1,3,1,2,-2,0,0,1,0,7,0,10
Argentina v Peru,T-03,Argentina,ARG,T-54,Peru,PER,6–0,6,0,6,-6,0,0,1,0,0,0,3
Brazil v Italy,T-09,Brazil,BRA,T-39,Italy,ITA,2–1,2,1,1,-1,0,0,1,0,9,0,9
Argentina v Netherlands,T-03,Argentina,ARG,T-46,Netherlands,NLD,3–1,3,1,2,-2,0,0,1,0,5,0,4
Argentina v Belgium,T-03,Argentina,ARG,T-06,Belgium,BEL,0–1,0,1,-1,1,0,0,0,1,7,0,9
Italy v Poland,T-39,Italy,ITA,T-55,Poland,POL,0–0,0,0,0,0,0,0,0,0,3,0,1
Brazil v Soviet Union,T-09,Brazil,BRA,T-69,Soviet Union,SUN,2–1,2,1,1,-1,0,0,1,0,0,0,3
Cameroon v Peru,T-11,Cameroon,CMR,T-54,Peru,PER,0–0,0,0,0,0,0,0,0,0,1,0,4
El Salvador v Hungary,T-26,El Salvador,SLV,T-34,Hungary,HUN,1–10,1,10,-9,9,0,0,0,1,2,0,4
New Zealand v Scotland,T-47,New Zealand,NZL,T-61,Scotland,SCO,2–5,2,5,-3,3,0,0,0,1,0,0,4
Algeria v West Germany,T-01,Algeria,DZA,T-82,West Germany,DEU,2–1,2,1,1,-1,0,0,1,0,2,0,3
England v France,T-27,England,ENG,T-28,France,FRA,3–1,3,1,2,-2,0,0,1,0,1,0,3
Honduras v Spain,T-33,Honduras,HND,T-70,Spain,ESP,1–1,1,1,0,0,0,0,0,0,2,0,9
Austria v Chile,T-05,Austria,AUT,T-13,Chile,CHL,1–0,1,0,1,-1,0,0,1,0,8,0,9
Czechoslovakia v Kuwait,T-20,Czechoslovakia,CSK,T-43,Kuwait,KWT,1–1,1,1,0,0,0,0,0,0,0,0,3
Northern Ireland v Yugoslavia,T-50,Northern Ireland,NIR,T-83,Yugoslavia,YUG,0–0,0,0,0,0,0,0,0,0,1,0,0
Italy v Peru,T-39,Italy,ITA,T-54,Peru,PER,1–1,1,1,0,0,0,0,0,0,2,0,3
Argentina v Hungary,T-03,Argentina,ARG,T-34,Hungary,HUN,4–1,4,1,3,-3,0,0,1,0,3,2,7
Brazil v Scotland,T-09,Brazil,BRA,T-61,Scotland,SCO,4–1,4,1,3,-3,0,0,1,0,5,0,10
Cameroon v Poland,T-11,Cameroon,CMR,T-55,Poland,POL,0–0,0,0,0,0,0,0,0,0,3,0,3
Belgium v El Salvador,T-06,Belgium,BEL,T-26,El Salvador,SLV,1–0,1,0,1,-1,0,0,1,0,2,0,6
New Zealand v Soviet Union,T-47,New Zealand,NZL,T-69,Soviet Union,SUN,0–3,0,3,-3,3,0,0,0,1,0,0,2
Chile v West Germany,T-13,Chile,CHL,T-82,West Germany,DEU,1–4,1,4,-3,3,0,0,0,1,5,1,7
Czechoslovakia v England,T-20,Czechoslovakia,CSK,T-27,England,ENG,0–2,0,2,-2,2,0,0,0,1,2,0,6
Spain v Yugoslavia,T-70,Spain,ESP,T-83,Yugoslavia,YUG,2–1,2,1,1,-1,0,0,1,0,9,0,8
Algeria v Austria,T-01,Algeria,DZA,T-05,Austria,AUT,0–2,0,2,-2,2,0,0,0,1,1,0,4
France v Kuwait,T-28,France,FRA,T-43,Kuwait,KWT,4–1,4,1,3,-3,0,0,1,0,3,0,4
Honduras v Northern Ireland,T-33,Honduras,HND,T-50,Northern Ireland,NIR,1–1,1,1,0,0,0,0,0,0,0,0,3
Peru v Poland,T-54,Peru,PER,T-55,Poland,POL,1–5,1,5,-4,4,0,0,0,1,1,0,4
Belgium v Hungary,T-06,Belgium,BEL,T-34,Hungary,HUN,1–1,1,1,0,0,0,0,0,0,2,0,4
Scotland v Soviet Union,T-61,Scotland,SCO,T-69,Soviet Union,SUN,2–2,2,2,0,0,0,0,0,0,1,0,3
Cameroon v Italy,T-11,Cameroon,CMR,T-39,Italy,ITA,1–1,1,1,0,0,0,0,0,0,8,1,6
Argentina v El Salvador,T-03,Argentina,ARG,T-26,El Salvador,SLV,2–0,2,0,2,-2,0,0,1,0,5,0,4
Brazil v New Zealand,T-09,Brazil,BRA,T-47,New Zealand,NZL,4–0,4,0,4,-4,0,0,1,0,0,0,4
Algeria v Chile,T-01,Algeria,DZA,T-13,Chile,CHL,3–2,3,2,1,-1,0,0,1,0,1,0,4
Czechoslovakia v France,T-20,Czechoslovakia,CSK,T-28,France,FRA,1–1,1,1,0,0,0,0,0,0,2,1,4
Honduras v Yugoslavia,T-33,Honduras,HND,T-83,Yugoslavia,YUG,0–1,0,1,-1,1,0,0,0,1,2,1,3
Austria v West Germany,T-05,Austria,AUT,T-82,West Germany,DEU,0–1,0,1,-1,1,0,0,0,1,2,0,2
England v Kuwait,T-27,England,ENG,T-43,Kuwait,KWT,1–0,1,0,1,-1,0,0,1,0,2,0,1
Northern Ireland v Spain,T-50,Northern Ireland,NIR,T-70,Spain,ESP,1–0,1,0,1,-1,0,0,1,0,3,1,4
Austria v France,T-05,Austria,AUT,T-28,France,FRA,0–1,0,1,-1,1,0,0,0,1,1,0,4
Belgium v Poland,T-06,Belgium,BEL,T-55,Poland,POL,0–3,0,3,-3,3,0,0,0,1,1,0,3
Argentina v Italy,T-03,Argentina,ARG,T-39,Italy,ITA,1–2,1,2,-1,1,0,0,0,1,8,1,8
England v West Germany,T-27,England,ENG,T-82,West Germany,DEU,0–0,0,0,0,0,0,0,0,0,6,0,10
Austria v Northern Ireland,T-05,Austria,AUT,T-50,Northern Ireland,NIR,2–2,2,2,0,0,0,0,0,0,1,0,3
Belgium v Soviet Union,T-06,Belgium,BEL,T-69,Soviet Union,SUN,0–1,0,1,-1,1,0,0,0,1,1,0,4
Argentina v Brazil,T-03,Argentina,ARG,T-09,Brazil,BRA,1–3,1,3,-2,2,0,0,0,1,4,1,10
Spain v West Germany,T-70,Spain,ESP,T-82,West Germany,DEU,1–2,1,2,-1,1,0,0,0,1,5,0,3
France v Northern Ireland,T-28,France,FRA,T-50,Northern Ireland,NIR,4–1,4,1,3,-3,0,0,1,0,2,0,3
Poland v Soviet Union,T-55,Poland,POL,T-69,Soviet Union,SUN,0–0,0,0,0,0,0,0,0,0,5,0,3
Brazil v Italy,T-09,Brazil,BRA,T-39,Italy,ITA,2–3,2,3,-1,1,0,0,0,1,2,0,3
England v Spain,T-27,England,ENG,T-70,Spain,ESP,0–0,0,0,0,0,0,0,0,0,1,0,4
Italy v Poland,T-39,Italy,ITA,T-55,Poland,POL,2–0,2,0,2,-2,0,0,1,0,7,0,7
France v West Germany,T-28,France,FRA,T-82,West Germany,DEU,3–3,3,3,0,0,4,5,0,1,3,0,4
France v Poland,T-28,France,FRA,T-55,Poland,POL,2–3,2,3,-1,1,0,0,0,1,3,0,3
Italy v West Germany,T-39,Italy,ITA,T-82,West Germany,DEU,3–1,3,1,2,-2,0,0,1,0,11,0,11
Bulgaria v Italy,T-10,Bulgaria,BGR,T-39,Italy,ITA,1–1,1,1,0,0,0,0,0,0,8,0,7
Brazil v Spain,T-09,Brazil,BRA,T-70,Spain,ESP,1–0,1,0,1,-1,0,0,1,0,2,0,3
Canada v France,T-12,Canada,CAN,T-28,France,FRA,0–1,0,1,-1,1,0,0,0,1,0,0,3
Argentina v South Korea,T-03,Argentina,ARG,T-68,South Korea,KOR,3–1,3,1,2,-2,0,0,1,0,7,0,9
Hungary v Soviet Union,T-34,Hungary,HUN,T-69,Soviet Union,SUN,0–6,0,6,-6,6,0,0,0,1,0,0,4
Morocco v Poland,T-45,Morocco,MAR,T-55,Poland,POL,0–0,0,0,0,0,0,0,0,0,1,0,4
Belgium v Mexico,T-06,Belgium,BEL,T-44,Mexico,MEX,1–2,1,2,-1,1,0,0,0,1,6,2,10
Algeria v Northern Ireland,T-01,Algeria,DZA,T-50,Northern Ireland,NIR,1–1,1,1,0,0,0,0,0,0,4,0,4
England v Portugal,T-27,England,ENG,T-56,Portugal,PRT,0–1,0,1,-1,1,0,0,0,1,3,0,4
Iraq v Paraguay,T-37,Iraq,IRQ,T-53,Paraguay,PRY,0–1,0,1,-1,1,0,0,0,1,2,0,3
Uruguay v West Germany,T-80,Uruguay,URY,T-82,West Germany,DEU,1–1,1,1,0,0,0,0,0,0,2,0,4
Denmark v Scotland,T-21,Denmark,DNK,T-61,Scotland,SCO,1–0,1,0,1,-1,0,0,1,0,1,0,4
Argentina v Italy,T-03,Argentina,ARG,T-39,Italy,ITA,1–1,1,1,0,0,0,0,0,0,8,1,8
France v Soviet Union,T-28,France,FRA,T-69,Soviet Union,SUN,1–1,1,1,0,0,0,0,0,0,4,0,4
Bulgaria v South Korea,T-10,Bulgaria,BGR,T-68,South Korea,KOR,1–1,1,1,0,0,0,0,0,0,3,0,4
Canada v Hungary,T-12,Canada,CAN,T-34,Hungary,HUN,0–2,0,2,-2,2,0,0,0,1,4,1,4
Algeria v Brazil,T-01,Algeria,DZA,T-09,Brazil,BRA,0–1,0,1,-1,1,0,0,0,1,0,0,4
England v Morocco,T-27,England,ENG,T-45,Morocco,MAR,0–0,0,0,0,0,0,0,0,0,4,1,4
Mexico v Paraguay,T-44,Mexico,MEX,T-53,Paraguay,PRY,1–1,1,1,0,0,0,0,0,0,5,0,4
Northern Ireland v Spain,T-50,Northern Ireland,NIR,T-70,Spain,ESP,1–2,1,2,-1,1,0,0,0,1,2,0,4
Poland v Portugal,T-55,Poland,POL,T-56,Portugal,PRT,1–0,1,0,1,-1,0,0,1,0,2,0,4
Belgium v Iraq,T-06,Belgium,BEL,T-37,Iraq,IRQ,2–1,2,1,1,-1,0,0,1,0,7,1,3
Scotland v West Germany,T-61,Scotland,SCO,T-82,West Germany,DEU,1–2,1,2,-1,1,0,0,0,1,3,0,4
Denmark v Uruguay,T-21,Denmark,DNK,T-80,Uruguay,URY,6–1,6,1,5,-5,0,0,1,0,5,1,4
France v Hungary,T-28,France,FRA,T-34,Hungary,HUN,3–0,3,0,3,-3,0,0,1,0,2,0,4
Canada v Soviet Union,T-12,Canada,CAN,T-69,Soviet Union,SUN,0–2,0,2,-2,2,0,0,0,1,0,0,4
Argentina v Bulgaria,T-03,Argentina,ARG,T-10,Bulgaria,BGR,2–0,2,0,2,-2,0,0,1,0,11,1,8
Italy v South Korea,T-39,Italy,ITA,T-68,South Korea,KOR,3–2,3,2,1,-1,0,0,1,0,16,1,9
Iraq v Mexico,T-37,Iraq,IRQ,T-44,Mexico,MEX,0–1,0,1,-1,1,0,0,0,1,2,0,4
Belgium v Paraguay,T-06,Belgium,BEL,T-53,Paraguay,PRY,2–2,2,2,0,0,0,0,0,0,2,0,2
England v Poland,T-27,England,ENG,T-55,Poland,POL,3–0,3,0,3,-3,0,0,1,0,1,0,4
Morocco v Portugal,T-45,Morocco,MAR,T-56,Portugal,PRT,3–1,3,1,2,-2,0,0,1,0,3,0,9
Algeria v Spain,T-01,Algeria,DZA,T-70,Spain,ESP,0–3,0,3,-3,3,0,0,0,1,2,0,4
Brazil v Northern Ireland,T-09,Brazil,BRA,T-50,Northern Ireland,NIR,3–0,3,0,3,-3,0,0,1,0,1,0,4
Denmark v West Germany,T-21,Denmark,DNK,T-82,West Germany,DEU,2–0,2,0,2,-2,0,0,1,0,5,1,4
Scotland v Uruguay,T-61,Scotland,SCO,T-80,Uruguay,URY,0–0,0,0,0,0,0,0,0,0,5,1,4
Bulgaria v Mexico,T-10,Bulgaria,BGR,T-44,Mexico,MEX,0–2,0,2,-2,2,0,0,0,1,13,2,5
Belgium v Soviet Union,T-06,Belgium,BEL,T-69,Soviet Union,SUN,4–3,4,3,1,-1,0,0,1,0,1,0,6
Brazil v Poland,T-09,Brazil,BRA,T-55,Poland,POL,4–0,4,0,4,-4,0,0,1,0,7,0,10
Argentina v Uruguay,T-03,Argentina,ARG,T-80,Uruguay,URY,1–0,1,0,1,-1,0,0,1,0,7,0,3
France v Italy,T-28,France,FRA,T-39,Italy,ITA,2–0,2,0,2,-2,0,0,1,0,15,1,18
Morocco v West Germany,T-45,Morocco,MAR,T-82,West Germany,DEU,0–1,0,1,-1,1,0,0,0,1,2,0,1
England v Paraguay,T-27,England,ENG,T-53,Paraguay,PRY,3–0,3,0,3,-3,0,0,1,0,6,0,8
Denmark v Spain,T-21,Denmark,DNK,T-70,Spain,ESP,1–5,1,5,-4,4,0,0,0,1,4,0,4
Brazil v France,T-09,Brazil,BRA,T-28,France,FRA,1–1,1,1,0,0,3,4,0,1,13,1,15
Mexico v West Germany,T-44,Mexico,MEX,T-82,West Germany,DEU,0–0,0,0,0,0,1,4,0,1,12,2,6
Argentina v England,T-03,Argentina,ARG,T-27,England,ENG,2–1,2,1,1,-1,0,0,1,0,11,1,15
Belgium v Spain,T-06,Belgium,BEL,T-70,Spain,ESP,1–1,1,1,0,0,5,4,1,0,4,0,4
France v West Germany,T-28,France,FRA,T-82,West Germany,DEU,0–2,0,2,-2,2,0,0,0,1,2,0,3
Argentina v Belgium,T-03,Argentina,ARG,T-06,Belgium,BEL,2–0,2,0,2,-2,0,0,1,0,7,0,9
Belgium v France,T-06,Belgium,BEL,T-28,France,FRA,2–4,2,4,-2,2,0,0,0,1,1,0,4
Argentina v West Germany,T-03,Argentina,ARG,T-82,West Germany,DEU,3–2,3,2,1,-1,0,0,1,0,6,0,3
Argentina v Cameroon,T-03,Argentina,ARG,T-11,Cameroon,CMR,0–1,0,1,-1,1,0,0,0,1,4,2,4
Romania v Soviet Union,T-58,Romania,ROU,T-69,Soviet Union,SUN,2–0,2,0,2,-2,0,0,1,0,2,0,4
Colombia v United Arab Emirates,T-15,Colombia,COL,T-78,United Arab Emirates,ARE,2–0,2,0,2,-2,0,0,1,0,3,0,3
Austria v Italy,T-05,Austria,AUT,T-39,Italy,ITA,0–1,0,1,-1,1,0,0,0,1,6,0,13
Czechoslovakia v United States,T-20,Czechoslovakia,CSK,T-79,United States,USA,5–1,5,1,4,-4,0,0,1,0,4,1,4
Brazil v Sweden,T-09,Brazil,BRA,T-71,Sweden,SWE,2–1,2,1,1,-1,0,0,1,0,8,0,10
West Germany v Yugoslavia,T-82,West Germany,DEU,T-83,Yugoslavia,YUG,4–1,4,1,3,-3,0,0,1,0,1,0,4
Costa Rica v Scotland,T-16,Costa Rica,CRI,T-61,Scotland,SCO,1–0,1,0,1,-1,0,0,1,0,0,0,3
England v Republic of Ireland,T-27,England,ENG,T-57,Republic of Ireland,IRL,1–1,1,1,0,0,0,0,0,0,1,0,3
Belgium v South Korea,T-06,Belgium,BEL,T-68,South Korea,KOR,2–0,2,0,2,-2,0,0,1,0,6,0,9
Egypt v Netherlands,T-25,Egypt,EGY,T-46,Netherlands,NLD,1–1,1,1,0,0,0,0,0,0,2,0,4
Spain v Uruguay,T-70,Spain,ESP,T-80,Uruguay,URY,0–0,0,0,0,0,0,0,0,0,4,0,4
Argentina v Soviet Union,T-03,Argentina,ARG,T-69,Soviet Union,SUN,2–0,2,0,2,-2,0,0,1,0,5,1,4
Cameroon v Romania,T-11,Cameroon,CMR,T-58,Romania,ROU,2–1,2,1,1,-1,0,0,1,0,3,0,4
Colombia v Yugoslavia,T-15,Colombia,COL,T-83,Yugoslavia,YUG,0–1,0,1,-1,1,0,0,0,1,1,0,4
Italy v United States,T-39,Italy,ITA,T-79,United States,USA,1–0,1,0,1,-1,0,0,1,0,7,3,8
Austria v Czechoslovakia,T-05,Austria,AUT,T-20,Czechoslovakia,CSK,0–1,0,1,-1,1,0,0,0,1,5,0,4
United Arab Emirates v West Germany,T-78,United Arab Emirates,ARE,T-82,West Germany,DEU,1–5,1,5,-4,4,0,0,0,1,3,0,4
Brazil v Costa Rica,T-09,Brazil,BRA,T-16,Costa Rica,CRI,1–0,1,0,1,-1,0,0,1,0,7,0,10
Scotland v Sweden,T-61,Scotland,SCO,T-71,Sweden,SWE,2–1,2,1,1,-1,0,0,1,0,2,0,4
England v Netherlands,T-27,England,ENG,T-46,Netherlands,NLD,0–0,0,0,0,0,0,0,0,0,0,0,3
Egypt v Republic of Ireland,T-25,Egypt,EGY,T-57,Republic of Ireland,IRL,0–0,0,0,0,0,0,0,0,0,2,0,4
Belgium v Uruguay,T-06,Belgium,BEL,T-80,Uruguay,URY,3–1,3,1,2,-2,0,0,1,0,4,1,4
South Korea v Spain,T-68,South Korea,KOR,T-70,Spain,ESP,1–3,1,3,-2,2,0,0,0,1,3,0,4
